Name,Rating,Fifa Ability Overall,Position,Apps,Assists,Aerials Won per game,Man of the match,Tackles,Clearances per game,Dribbled past per game,Goals,"Shots per
game",Dribbles per game,Key passes per game,Passes per game,Pass success percentage,Crosses,Avg Minutes Played
Toni Villa,6.8,73,AM(L),21,2,0.1,1,2.0,0.2,1.0,2,1.3,2.1,0.9,21.2,78.0,0.3,84.47619047619048
Munir El Haddadi,6.8,77,"AM(LR), FW",12,1,1.1,1,1.1,0.5,0.3,5,2.1,0.7,0.7,19.9,74.2,0.1,87.08333333333333
Ramiro Funes Mori,6.8,77,"D(C), DMC",29,1,2.3,0,1.3,4.7,0.8,2,0.8,0.2,0.2,39.1,81.0,0.0,90.62068965517241
Manuel Morlanes,6.8,71,M(C),7,3,1.0,1,2.1,0.9,1.2,0,0.3,0.7,0.9,32.0,84.1,0.0,87.28571428571429
Borja García,6.8,79,AM(CL),30,3,0.7,1,1.2,0.4,0.7,1,1.0,1.1,1.1,39.0,82.8,0.3,87.96666666666667
William Carvalho,6.79,84,DMC,26,5,1.3,0,1.5,1.0,0.4,0,0.3,1.4,0.6,63.5,89.0,0.0,91.8076923076923
Gerard Moreno,6.79,83,"AM(C), FW",25,1,1.8,3,0.6,1.1,0.5,8,2.0,0.9,1.1,21.1,71.8,0.1,92.68
Nemanja Maksimovic,6.78,78,DMC,36,0,2.3,0,2.1,0.8,1.1,1,0.9,0.3,0.3,21.4,75.6,0.0,89.19444444444444
Samuel Chukwueze,6.78,65,AM(CR),19,2,0.6,1,0.7,0.0,0.8,5,2.2,2.0,0.8,19.4,73.4,0.1,90.05263157894737
Marco Asensio,6.78,85,AM(CLR),19,4,0.1,0,0.4,0.1,0.7,1,1.5,1.4,1.0,30.4,86.8,0.8,93.63157894736842
Sergi Darder,6.78,79,"DMC, M(L)",32,2,0.5,4,1.8,0.7,1.3,4,1.6,1.0,1.1,36.3,79.8,0.6,84.9375
Adrián Embarba,6.78,76,"AM(LR), FW",27,6,0.6,1,1.5,0.3,1.1,5,1.4,1.3,1.5,16.2,71.9,1.5,84.85185185185185
Cristian Tello,6.78,80,M(LR),13,6,0.1,1,1.1,0.3,0.6,4,1.2,0.9,1.0,26.8,85.5,0.3,120.0
Tomás Pina,6.77,77,M(C),27,0,2.1,1,2.3,1.4,1.0,2,0.4,0.4,0.8,37.6,82.8,0.0,86.77777777777777
Carlos Soler,6.77,80,M(CR),27,6,0.8,1,1.3,1.0,1.6,2,1.3,0.8,1.1,29.1,79.5,0.5,91.33333333333333
Mikel Vesga,6.77,72,DMC,23,1,1.9,0,1.9,1.0,2.4,1,0.5,0.7,0.6,30.2,80.1,0.2,90.21739130434783
Vinícius Júnior,6.77,77,AM(L),9,0,0.1,0,0.6,0.0,0.7,2,2.3,2.3,0.8,15.8,76.1,0.3,96.0
Dani Ceballos,6.76,81,M(CL),13,0,0.4,0,1.4,0.2,0.9,3,1.0,0.6,1.0,44.1,92.6,0.1,96.0
Mauro Arambarri,6.76,76,DMC,32,2,1.7,1,1.8,1.0,1.6,1,0.9,1.0,0.5,22.4,69.4,0.1,83.96875
Jason,6.76,75,M(R),26,5,1.1,0,1.5,0.8,1.7,2,1.1,1.0,1.0,21.7,69.1,0.4,89.73076923076923
Asier Illarramendi,6.75,84,M(C),20,1,1.3,0,1.7,1.9,1.3,1,0.6,0.3,0.5,53.8,84.9,0.2,91.1
Diego Llorente,6.74,77,"D(C), DMC",20,0,2.8,1,1.2,3.8,0.6,0,0.3,0.1,0.1,52.3,84.8,0.0,87.75
Brahim Díaz,6.74,69,AM(L),5,1,0.0,0,1.0,0.0,0.6,1,0.8,1.9,0.8,18.1,85.9,0.0,75.6
Christian Rivera,6.74,70,M(C),19,0,1.1,1,1.7,1.2,0.6,2,0.6,0.8,0.5,31.0,79.5,0.0,89.15789473684211
Denis Cheryshev,6.74,77,"AM(L), FW",19,2,1.3,0,1.7,0.4,0.7,2,1.2,0.7,1.4,22.4,69.0,0.7,89.94736842105263
Daniel Wass,6.74,81,"D(LR), M(CLR)",26,3,1.3,0,1.1,1.3,0.7,1,0.9,0.3,1.0,35.9,78.0,0.5,90.61538461538461
Ibai Gómez,6.74,79,AM(LR),17,2,0.2,2,0.8,0.8,0.7,3,2.3,0.8,1.2,27.8,72.3,0.9,85.70588235294117
Álex Moreno,6.73,74,"D(L), M(L)",36,1,0.8,1,1.8,2.2,0.7,1,0.7,1.6,0.9,30.6,76.3,0.4,87.22222222222223
Alejandro Gálvez,6.73,75,"D(C), M(C)",17,0,2.1,0,2.2,4.1,0.8,1,0.4,0.1,0.2,40.5,81.1,0.0,83.41176470588235
Enis Bardhi,6.73,77,AM(CL),31,4,0.3,0,1.9,0.9,1.6,3,1.8,1.2,0.8,30.6,76.4,0.4,91.6774193548387
Alfonso Pedraza,6.72,75,"D(L), M(L)",22,3,0.8,2,1.7,1.3,1.2,3,1.1,0.9,0.7,20.9,75.8,0.5,94.95454545454545
David López,6.72,79,"D(C), DMC",21,0,2.5,1,1.3,3.1,0.6,0,0.4,0.3,0.2,57.5,88.3,0.0,86.66666666666667
Pablo Fornals,6.71,81,M(CLR),28,3,0.6,1,1.4,0.5,1.1,2,1.7,1.1,1.3,32.3,78.1,0.2,88.67857142857143
Santi Mina,6.71,80,"AM(LR), FW",23,5,1.4,2,0.6,0.6,0.7,7,1.4,0.4,0.5,15.4,73.0,0.1,80.8695652173913
Míchel,6.71,74,M(CR),27,2,0.7,1,1.7,0.7,1.6,1,0.6,0.6,1.5,45.8,84.7,0.9,94.5925925925926
Mario Gaspar,6.71,80,"D(CR), M(R)",30,2,1.7,0,2.0,2.7,0.6,1,0.8,0.4,0.5,34.0,77.2,0.3,86.73333333333333
Santiago Comesaña,6.7,70,DMC,23,1,1.6,0,2.2,1.6,1.6,1,0.3,1.0,0.5,42.7,84.9,0.1,88.34782608695652
Moi Gómez,6.7,74,M(CLR),35,7,0.6,1,1.2,0.7,1.0,2,0.7,0.9,1.4,39.4,82.8,0.8,87.45714285714286
Pablo Hervías,6.69,73,Midfielder,2,1,0.7,0,0.3,0.0,1.3,0,1.3,2.0,2.0,15.7,80.9,1.7,90.0
Óscar Plano,6.69,74,"AM(CLR), FW",30,4,1.1,4,1.9,0.6,1.0,3,1.4,0.8,0.9,23.4,76.8,0.4,89.9
Manu García,6.68,73,DMC,25,1,3.1,0,2.4,1.8,1.6,1,0.8,0.4,0.4,27.4,74.3,0.1,93.08
Beñat Etxebarria,6.68,80,M(C),25,2,0.8,1,1.7,0.4,1.5,1,0.6,0.3,1.2,43.2,85.0,1.2,81.8
Chimy Avila,6.68,70,"AM(LR), FW",20,2,2.1,2,0.5,0.6,0.6,10,2.6,0.6,0.6,15.4,54.3,0.2,99.75
Ángel Correa,6.68,79,"AM(LR), FW",20,2,0.3,1,1.1,0.5,1.2,3,0.9,1.8,1.1,19.8,75.6,0.1,96.1
Dani García,6.67,82,DMC,29,0,2.0,0,1.9,1.6,1.3,0,0.1,0.1,0.1,48.1,82.8,0.0,85.58620689655173
Luis Advíncula,6.67,74,"D(R), M(R)",27,3,0.9,1,1.9,2.0,0.4,1,0.6,1.4,0.6,33.5,82.2,0.5,88.55555555555556
Giannelli Imbula,6.67,74,M(C),21,1,0.4,1,0.6,0.2,0.3,1,1.0,2.6,1.0,32.2,91.3,0.3,82.80952380952381
Iñigo Córdoba,6.67,75,AM(L),15,5,1.0,0,1.6,0.3,1.4,0,1.0,1.4,0.8,17.7,70.0,0.3,88.26666666666667
Jaume Costa,6.66,79,"D(L), M(L)",18,0,1.2,1,1.6,2.1,0.6,1,0.6,0.5,0.4,37.0,82.4,0.4,83.22222222222223
Ryad Boudebouz,6.66,80,"M(CLR), FW",8,2,0.7,0,1.3,0.6,0.5,1,1.0,1.2,1.5,31.5,83.2,1.0,90.0
Mathías Olivera,6.66,70,"D(L), M(L)",12,1,3.1,0,1.7,1.3,0.6,0,0.4,0.7,0.5,22.5,58.7,0.4,84.25
Isco,6.66,88,"AM(CLR), FW",11,2,0.3,0,1.1,0.1,0.7,3,0.9,1.3,1.0,34.4,88.6,0.3,108.0
Pere Pons,6.66,78,DMC,32,2,1.5,1,2.4,1.0,1.5,1,0.6,0.8,0.5,34.8,78.5,0.1,87.40625
Rubén Pérez,6.66,75,M(C),27,0,1.6,0,2.3,1.0,1.5,0,0.4,0.4,0.5,43.5,80.2,0.0,91.5925925925926
Sergio Escudero,6.65,79,"D(L), M(L)",18,1,1.0,1,2.0,1.8,0.8,0,1.3,0.6,0.6,35.4,81.0,0.3,86.27777777777777
Allan Nyom,6.65,74,"D(LR), M(R)",20,1,1.0,1,1.4,1.1,0.2,1,0.2,0.4,1.1,21.3,75.6,1.1,85.6
Óscar Trejo,6.64,68,M(CLR),22,4,1.1,0,2.2,0.5,1.0,1,0.8,1.3,1.1,32.3,78.5,0.2,80.63636363636364
Juanfran,6.64,80,"D(R), M(R)",17,1,0.9,0,0.9,1.1,0.3,1,0.4,0.6,1.0,19.8,72.8,1.3,85.82352941176471
Rubén Pardo,6.63,75,M(C),16,2,0.4,0,0.5,0.3,0.5,1,0.9,0.3,1.6,33.5,82.9,1.3,85.875
Lucas Vázquez,6.63,83,M(R),15,3,0.2,1,1.4,0.2,0.8,1,0.8,1.1,1.0,28.2,84.1,0.5,100.13333333333334
Francis,6.63,75,"D(R), M(LR)",22,1,0.4,0,2.3,1.5,0.8,0,0.5,0.7,0.6,35.6,81.5,0.4,81.36363636363636
David Zurutuza,6.63,76,M(CL),13,0,1.9,1,1.3,1.0,0.7,2,0.5,0.2,0.5,28.7,80.8,0.0,94.07692307692308
Peru Nolaskoain,6.63,67,Midfielder,4,0,1.9,0,1.4,2.3,0.5,2,0.5,0.3,0.1,34.5,86.2,0.0,116.25
Coke,6.63,69,"D(CLR), M(R)",19,0,0.9,1,1.6,1.9,1.1,4,0.4,0.4,0.4,27.6,74.8,0.3,95.52631578947368
Pedro Porro,6.63,69,"D(R), M(R)",25,4,0.6,0,1.6,1.2,1.5,0,0.7,0.9,0.8,27.0,70.5,0.8,88.56
Portu,6.61,80,"AM(CR), FW",33,2,0.8,2,1.0,0.0,0.9,9,1.1,0.9,1.0,18.3,74.2,0.4,85.84848484848484
Ander Capa,6.6,78,"D(R), M(R)",17,0,1.2,0,1.7,1.5,0.6,0,0.4,0.8,0.5,27.4,73.7,0.3,96.29411764705883
Óscar Melendo,6.6,74,AM(CR),22,5,0.3,0,0.5,0.2,0.5,0,0.3,1.1,1.1,27.1,85.3,0.2,91.18181818181819
Maxime Gonalons,6.6,75,"D(C), M(C)",5,0,1.9,0,0.8,1.0,1.4,0,0.2,0.8,0.4,33.3,82.6,0.0,107.4
Santiago Cáseres,6.6,73,DMC,17,1,1.1,0,2.9,1.0,1.4,0,0.2,0.5,0.7,37.5,90.8,0.0,93.52941176470588
Recio,6.6,76,M(C),15,0,1.6,0,1.7,0.7,1.0,0,0.6,0.6,0.4,36.2,84.6,0.1,85.86666666666666
Gonzalo Escalante,6.59,77,DMC,18,1,1.4,0,1.5,0.6,0.8,4,0.7,0.7,0.3,23.6,78.2,0.0,99.11111111111111
Dimitri Foulquier,6.59,71,"D(LR), M(R)",23,2,1.0,1,1.2,1.2,0.4,3,0.5,1.0,0.6,15.9,62.8,0.2,78.65217391304348
Quincy Promes,6.59,83,"M(CLR), FW",15,3,0.6,1,1.1,0.6,0.2,2,0.9,0.8,0.9,22.9,78.9,0.4,104.73333333333333
Miguel Layún,6.59,77,"D(LR), M(CLR)",5,1,0.1,0,1.0,1.1,0.5,0,1.5,0.6,1.5,25.0,79.5,1.9,101.2
Marc Cucurella,6.58,71,M(L),26,2,1.3,0,1.6,0.5,0.4,1,0.7,0.5,1.0,27.4,78.8,0.5,90.61538461538461
Aday Benítez,6.58,76,M(LR),8,2,0.3,0,0.9,1.5,0.1,0,0.9,0.6,1.3,21.9,80.8,1.0,80.875
Douglas Luiz,6.58,73,M(C),16,0,1.1,0,1.5,1.0,1.3,0,0.7,1.0,0.4,31.7,84.5,0.1,92.9375
Óscar De Marcos,6.57,79,"D(LR), M(CR)",28,2,1.3,1,2.0,1.6,1.1,1,0.3,0.3,0.9,34.3,77.1,0.7,86.67857142857143
Sergio Álvarez,6.57,75,"D(C), M(C)",12,0,1.9,0,1.8,2.2,0.5,0,0.1,0.1,0.1,26.2,79.3,0.0,88.75
Markel Susaeta,6.57,80,M(LR),15,2,0.2,1,0.8,0.2,0.9,1,0.7,0.7,1.6,23.9,82.7,1.4,92.0
Gorka Elustondo,6.56,72,"D(C), M(C)",3,0,2.2,0,1.4,2.0,0.6,0,0.4,0.2,0.6,28.4,81.0,0.2,95.33333333333333
Aleix García,6.56,70,DMC,20,1,0.5,1,1.2,0.4,0.7,2,0.6,0.4,0.9,34.6,85.0,0.8,83.35
Andrés Guardado,6.55,82,"D(L), M(CL)",27,4,0.5,0,0.8,0.8,1.2,0,0.8,0.8,1.0,51.4,88.9,0.3,86.66666666666667
José Pozo,6.55,74,AM(C),16,0,0.3,0,0.4,0.2,0.7,3,0.8,2.2,1.0,24.4,83.3,0.1,100.75
Vitolo,6.55,81,M(CLR),5,1,0.3,0,0.9,0.2,0.7,0,0.4,1.4,0.4,15.4,77.9,0.0,149.0
Aleix Vidal,6.54,77,"D(R), M(LR)",5,0,0.7,0,1.2,0.8,0.8,0,0.7,0.4,1.3,22.8,76.1,0.5,105.2
Ibrahim Amadou,6.53,75,"D(C), DMC",7,0,1.5,1,1.6,1.4,0.4,0,0.5,0.3,0.2,20.7,85.8,0.0,108.28571428571429
Carles Planas,6.53,76,"D(L), M(L)",4,1,0.9,0,1.7,1.7,1.0,0,0.1,0.1,0.3,26.3,71.2,0.4,104.5
Malcom,6.53,82,AM(CLR),6,2,0.3,0,0.2,0.1,0.1,1,0.7,0.7,0.9,20.3,86.9,0.2,101.33333333333333
Álvaro Medrán,6.53,75,M(C),12,0,0.5,1,0.7,0.4,0.7,3,1.1,1.0,1.4,34.6,83.1,0.7,95.66666666666667
Keko,6.53,75,M(R),20,1,0.4,0,1.6,0.3,1.2,2,0.8,1.2,0.5,16.0,71.9,1.0,77.25
Wilfrid Kaptoum,6.52,66,M(C),9,0,0.7,0,1.5,0.6,0.6,0,0.3,1.9,0.2,32.3,86.1,0.0,86.22222222222223
Guilherme Arana,6.52,74,"D(L), M(L)",8,0,0.3,0,1.2,0.8,0.1,0,0.7,0.3,0.1,24.4,84.5,0.2,79.125
Ibai Gómez,6.52,79,AM(LR),6,2,0.5,0,0.4,0.6,0.4,0,0.6,0.4,1.2,15.4,81.0,1.4,96.5
Federico Valverde,6.51,74,M(CL),6,0,0.6,0,0.8,0.6,0.4,0,0.4,0.8,0.6,23.3,86.3,0.1,108.66666666666667
Ferrán Torres,6.51,73,M(R),8,1,1.3,0,0.6,0.3,0.3,2,0.7,0.6,0.6,12.2,77.7,0.4,105.375
Hernán Pérez,6.51,77,M(LR),10,2,0.7,0,0.7,0.6,1.1,1,0.8,1.1,0.7,11.7,72.5,0.3,79.8
Takashi Inui,6.51,80,AM(CLR),10,0,0.3,0,0.8,0.2,1.1,2,1.3,1.2,0.3,18.8,78.3,0.2,83.4
Damián Musto,6.51,74,DMC,20,0,2.0,0,2.2,2.1,0.7,0,0.5,0.0,0.3,32.3,80.4,0.0,84.45
Stanislav Lobotka,6.51,78,DMC,27,1,0.3,0,1.0,0.5,0.7,0,0.4,1.0,0.6,45.3,89.2,0.1,92.33333333333333
Bebé,6.51,74,"AM(LR), FW",13,1,0.9,1,0.7,0.5,0.4,1,2.2,1.3,0.8,14.3,68.1,1.0,99.6923076923077
Manu Trigueros,6.51,83,M(C),18,0,0.8,1,1.9,0.7,1.5,0,0.8,0.3,0.8,41.0,86.7,0.2,86.05555555555556
Íñigo Lekue,6.51,75,"D(LR), M(LR)",2,0,1.3,0,1.3,2.5,1.3,0,0.0,0.8,0.5,21.3,82.4,0.3,105.0
Luca Sangalli,6.51,71,AM(C),12,3,0.5,1,1.1,0.2,0.9,1,0.6,0.9,0.6,20.1,74.2,0.3,83.33333333333333
Óscar Duarte,6.5,68,"D(C), DMC",7,0,2.1,0,1.1,3.1,0.3,0,0.2,0.0,0.2,30.3,87.1,0.0,93.85714285714286
David Ferreiro,6.5,71,AM(L),23,3,0.2,0,1.0,0.3,1.5,1,1.0,0.7,1.5,21.1,75.8,1.6,99.0
Jordi Amat,6.5,76,"D(C), DMC",31,0,1.6,0,1.7,3.8,0.6,0,0.2,0.8,0.2,41.4,82.4,0.0,89.16129032258064
Arthur,6.49,82,DMC,19,1,0.1,0,0.6,0.3,0.3,0,0.2,0.4,0.5,47.4,93.5,0.0,75.84210526315789
Mubarak Wakaso,6.49,75,M(CLR),18,1,0.6,0,1.6,0.6,0.8,1,1.1,0.7,0.3,21.9,77.3,0.2,92.66666666666667
Ryad Boudebouz,6.49,80,"M(CLR), FW",6,0,0.4,0,0.9,0.2,0.7,0,1.1,0.8,1.1,34.9,87.9,0.6,90.0
Marko Rog,6.48,75,DMC,4,0,1.1,0,1.2,0.1,0.4,0,0.2,1.1,0.4,20.6,86.4,0.0,88.75
Roque Mesa,6.48,79,DMC,20,2,0.4,0,1.5,0.3,0.7,2,0.9,0.7,0.6,29.5,87.4,0.5,87.35
Juanmi,6.48,76,"AM(CLR), FW",16,2,0.6,1,0.7,0.3,0.5,5,1.4,0.5,0.3,12.0,80.2,0.1,95.125
Rubén Sobrino,6.48,76,"AM(R), FW",10,1,1.3,2,0.8,0.5,0.4,3,1.0,0.8,0.5,11.7,68.4,0.1,96.4
Francisco Portillo,6.47,75,M(CLR),19,4,0.2,0,0.8,0.1,0.6,1,0.3,1.2,0.7,23.4,76.5,0.2,104.84210526315789
Álex Gallar,6.47,73,AM(R),10,1,0.2,1,0.6,0.2,0.4,4,1.1,0.8,1.2,16.3,74.7,0.6,100.4
Sanjin Prcic,6.46,74,M(C),6,0,1.6,0,1.8,1.1,0.6,0,0.8,0.2,0.1,28.2,83.0,0.1,89.0
Víctor Sánchez,6.46,77,"D(LR), M(CL)",13,2,1.0,0,1.9,1.0,2.2,0,0.5,0.3,0.3,22.2,81.4,0.1,96.76923076923077
Luisinho,6.46,74,"D(L), M(L)",6,0,0.0,0,2.0,2.1,1.0,0,0.4,0.7,0.4,27.9,86.7,0.3,84.83333333333333
Gonzalo Melero,6.45,75,AM(C),14,1,1.2,0,1.2,1.0,1.7,2,1.0,0.6,1.0,32.5,86.2,0.0,96.21428571428571
Pablo De Blasis,6.45,75,"D(R), M(CLR)",16,0,1.1,1,1.3,0.8,0.8,2,0.5,0.3,0.9,26.7,70.4,0.7,94.8125
Antonio Luna,6.45,74,"D(L), M(L)",14,2,0.8,0,0.9,2.3,1.1,0,0.2,0.6,0.6,29.8,73.0,0.8,89.92857142857143
Pedro López,6.45,71,"D(R), M(R)",5,1,0.6,0,0.6,0.7,0.4,0,0.2,0.7,0.6,19.4,85.1,0.4,92.8
Mikel Rico,6.45,75,M(C),3,0,1.8,0,1.3,0.8,1.3,0,0.8,0.0,0.3,23.5,79.8,0.3,81.0
Carles Aleñá,6.44,72,M(C),6,0,0.3,1,0.4,0.0,0.4,2,0.8,0.7,0.5,33.7,92.1,0.0,105.16666666666667
Pione Sisto,6.44,78,AM(LR),8,1,0.0,1,0.2,0.0,0.4,2,0.7,1.0,0.5,17.1,85.7,0.4,104.375
Darko Brasanac,6.44,74,M(CR),17,1,1.3,0,1.3,0.8,0.7,0,0.4,0.5,0.4,25.8,79.8,0.2,93.05882352941177
Mikel San José,6.44,77,"D(C), DMC",16,0,2.0,0,1.3,1.0,1.0,0,0.4,0.2,0.5,21.4,75.5,0.2,107.3125
Riqui Puig,6.44,69,Midfielder,2,0,0.5,0,1.5,0.5,0.5,0,0.0,0.0,1.0,57.5,92.2,0.0,78.5
Sergio García,6.43,77,"M(CLR), FW",17,1,0.7,0,0.6,0.1,0.4,2,1.2,0.6,0.9,15.1,68.6,0.3,87.47058823529412
Munir El Haddadi,6.43,77,"AM(LR), FW",1,1,0.1,0,0.4,0.1,0.3,1,0.6,0.4,0.4,8.3,77.6,0.1,148.0
Moses Simon,6.43,76,M(CLR),8,1,0.2,0,0.7,0.4,0.2,1,0.8,1.1,0.4,11.2,69.5,0.2,97.625
Anuar Mohamed,6.41,70,AM(C),12,0,1.4,0,1.7,1.2,0.4,1,0.5,0.2,0.1,20.8,74.9,0.0,90.16666666666667
Antoñito,6.41,71,"D(R), M(R)",18,1,0.5,0,1.2,0.7,0.8,2,0.3,0.7,0.8,21.7,76.9,0.5,103.05555555555556
Sebastián Cristóforo,6.4,75,M(C),4,2,0.6,1,1.0,0.3,0.6,0,0.1,0.2,0.5,9.5,77.6,0.1,110.75
Nabil El Zhar,6.4,76,M(CLR),9,0,0.3,2,0.3,0.0,0.2,4,1.0,1.0,0.6,9.6,75.2,0.6,106.22222222222223
Nikola Vukcevic,6.39,76,DMC,9,1,1.1,0,1.6,1.0,0.9,0,0.0,0.3,0.1,15.3,82.4,0.0,74.55555555555556
Pedro León,6.39,81,M(LR),5,0,1.3,0,0.8,0.1,0.3,1,0.8,0.1,0.6,13.6,56.6,1.3,85.2
Pablo Piatti,6.39,76,M(LR),6,0,0.5,0,1.1,0.3,0.4,1,0.8,0.6,0.7,11.7,75.1,0.4,122.5
Javi García,6.38,78,"D(C), DMC",6,0,1.2,0,0.2,2.1,0.1,0,0.0,0.2,0.0,34.2,93.7,0.0,86.66666666666667
Valery Fernández,6.37,58,M(L),10,1,0.5,0,1.2,0.3,0.4,0,0.1,1.1,0.2,16.4,82.4,0.3,88.5
Gaël Kakuta,6.35,76,M(CLR),9,0,0.4,0,1.0,0.7,0.7,1,0.5,1.3,0.4,19.3,76.6,0.6,80.0
Gelson Martins,6.35,82,AM(R),1,0,0.3,0,0.6,0.0,0.1,0,0.6,1.0,0.3,7.8,77.4,0.0,224.0
Takashi Inui,6.35,80,AM(CLR),5,0,0.0,0,0.5,0.1,0.5,0,1.6,1.0,0.4,15.1,83.5,0.3,75.4
Diego Lainez,6.35,73,Midfielder,3,1,0.0,0,0.3,0.1,0.0,0,0.8,1.3,0.6,10.3,86.2,0.1,116.66666666666667
Pere Milla,6.35,75,M(L),5,0,2.0,0,1.4,0.2,1.0,0,0.8,0.6,0.6,22.8,57.0,0.8,68.8
Gaku Shibasaki,6.34,77,"M(C), FW",5,0,0.7,0,1.0,0.6,0.4,0,0.9,0.6,0.4,16.6,66.4,0.6,78.0
Álvaro García,6.34,74,AM(L),17,2,0.1,0,0.6,0.7,0.6,4,0.8,0.3,0.6,12.0,69.2,0.4,103.47058823529412
Rafinha,6.33,82,M(CLR),3,0,0.6,0,1.6,0.4,0.0,0,0.4,0.0,0.4,29.0,89.0,0.4,75.0
Sandro Ramírez,6.33,75,"AM(LR), FW",10,0,0.4,0,0.8,0.1,0.3,0,1.8,0.5,0.8,14.3,78.1,0.5,105.1
Rubén Sobrino,6.33,76,"AM(R), FW",2,0,1.8,0,1.5,0.3,0.0,0,0.8,0.5,0.3,11.8,76.6,0.0,96.0
Unai López,6.33,75,M(CR),3,0,0.3,0,1.0,0.1,1.4,0,0.6,0.7,0.3,34.6,88.8,0.3,108.66666666666667
Emmanuel Boateng,6.32,76,"AM(R), FW",7,0,1.8,0,0.3,0.4,0.2,1,1.1,0.3,0.1,6.3,65.3,0.0,99.28571428571429
Javi Fuego,6.32,77,M(C),3,0,0.8,0,1.2,1.8,0.8,0,0.0,0.2,0.0,28.8,73.6,0.0,78.0
Pablo Hervías,6.32,73,Midfielder,2,0,0.3,0,0.3,0.0,0.3,0,1.0,0.3,0.7,17.3,86.5,0.3,80.5
Jesé,6.32,76,"AM(LR), FW",9,0,0.2,0,0.5,0.0,0.4,2,1.4,0.9,0.5,13.8,75.1,0.0,86.88888888888889
Gerard Gumbau,6.3,71,DMC,13,1,0.9,0,1.4,0.8,1.2,1,1.2,0.3,0.4,24.9,75.7,0.5,92.07692307692308
Fran Beltrán,6.3,74,DMC,16,0,0.2,0,0.8,0.5,0.6,1,0.6,0.4,0.3,28.6,91.2,0.0,94.5625
Antonio Barragán,6.29,76,"D(R), M(R)",12,0,0.8,0,1.0,1.7,0.7,0,0.1,0.2,0.6,37.4,86.0,0.6,78.08333333333333
Patrick Roberts,6.28,74,AM(R),6,0,0.1,0,0.4,0.1,0.6,0,0.4,1.4,0.4,9.2,82.2,0.1,99.33333333333333
Kevin Soni,6.28,64,Midfielder,1,0,0.4,0,0.6,0.0,0.4,0,1.0,1.2,0.6,4.4,81.8,0.0,79.0
Mathias Jensen,6.28,75,M(C),3,0,1.0,0,0.7,0.2,1.2,0,0.7,0.0,0.2,13.0,78.2,0.0,78.33333333333333
Borja Fernández,6.27,70,M(C),11,0,1.9,0,0.9,1.3,0.5,0,0.3,0.1,0.1,19.0,78.9,0.1,76.54545454545455
Emre Mor,6.27,74,AM(LR),4,0,0.3,0,0.7,0.1,0.5,0,0.8,1.0,0.2,8.3,78.3,0.0,91.75
Jozabed Sánchez,6.27,75,M(C),14,0,0.3,0,1.0,0.6,0.8,0,0.6,0.3,0.4,35.2,84.9,0.0,82.78571428571429
Daniele Verde,6.27,72,AM(LR),4,0,0.0,0,0.3,0.1,0.2,2,1.1,0.4,0.5,10.5,79.3,0.5,160.75
Luis Muriel,6.26,80,"AM(CL), FW",1,1,1.5,0,0.0,0.2,1.0,1,0.7,0.3,0.5,7.8,76.6,0.0,120.0
Andrew Hjulsager,6.24,69,Midfielder,2,3,0.1,0,1.1,0.1,1.1,0,0.1,0.4,0.4,7.3,78.9,0.3,175.0
Burgui,6.23,75,AM(LR),5,0,0.4,0,0.4,0.0,0.1,1,0.5,0.4,0.8,12.3,79.7,0.2,109.6
"Kevin0,00Prince Boateng",6.22,81,"M(CLR), FW",3,0,1.3,0,1.0,1.3,0.3,0,1.0,0.0,0.7,20.0,76.7,0.0,80.0
Juan Aguilera,6.22,69,Midfielder,4,0,0.7,0,0.3,0.3,0.5,0,0.5,0.2,0.0,30.7,89.1,0.3,86.75
Javier Eraso,6.2,76,AM(C),9,0,0.7,0,0.5,0.2,0.5,0,0.2,0.2,0.5,16.0,81.3,0.4,70.66666666666667
Fran Manzanara,6.17,65,Midfielder,1,0,1.3,0,1.8,1.8,0.0,0,0.3,0.0,0.0,16.8,89.6,0.0,155.0
Álex López,6.17,67,Midfielder,1,0,0.3,0,0.8,0.3,0.3,0,0.3,0.3,0.0,18.8,90.7,0.3,109.0
Robert Ibáñez,6.16,61,AM(R),0,0,0.0,0,0.3,0.0,0.1,0,0.6,0.4,0.0,2.7,89.5,0.0,
Serdar Gurler,6.14,74,AM(LR),5,1,0.5,0,0.4,0.1,0.6,0,0.5,0.5,0.5,11.2,67.1,0.4,95.8
"Seung0,00Ho Paik",6.13,67,"Midfielder, Midfielder",0,0,0.3,0,0.0,0.3,0.3,0,0.3,0.0,0.0,6.7,85.0,0.0,
Sabin Merino,6.11,75,"AM(L), FW",2,0,1.3,0,0.1,0.3,0.0,0,0.9,0.2,0.2,7.3,76.1,0.0,144.5
Manuel Iturra,6.1,73,DMC,1,0,0.7,0,0.7,0.7,0.0,0,0.0,0.0,0.0,18.0,83.3,0.0,73.0
Nolito,6.09,79,AM(L),1,0,0.0,0,0.8,0.3,0.3,0,0.5,0.3,0.0,6.8,63.0,0.0,74.0
Markel Bergara,6.08,77,M(C),0,0,0.3,0,0.7,0.7,0.3,0,0.0,0.0,0.0,5.7,76.5,0.0,
Lluis Sastre,6.07,70,DMC,1,0,0.0,0,1.3,0.0,0.3,0,0.0,0.0,0.3,22.3,79.8,0.0,117.0
Patrick Twumasi,6.06,65,AM(R),0,0,0.5,0,0.3,0.1,0.4,0,0.3,0.1,0.2,5.0,70.9,0.4,
