Name,Rating,Fifa Ability Overall,Position,Apps,Assists,Aerials Won per game,Man of the match,Tackles,Clearances per game,Dribbled past per game,Goals,"Shots per
game",Dribbles per game,Key passes per game,Passes per game,Pass success percentage,Crosses,Avg Minutes Played
Karim Bellarabi,6.9,81,"AM(CLR), FW",14,4,0.1,1,0.7,0.3,0.8,5,2.2,1.1,1.4,22.1,74.8,0.6,75.78571428571429
Markus Suttner,6.89,73,"D(L), M(L)",6,1,1.2,0,1.7,1.5,0.7,1,0.7,0.0,1.5,33.0,77.3,1.5,81.83333333333333
Ante Rebic,6.89,79,"AM(CLR), FW",23,4,1.3,1,0.8,0.1,0.3,9,2.2,1.7,1.2,17.7,56.9,0.3,86.30434782608695
Janik Haberer,6.89,74,"M(CLR), FW",26,3,2.0,1,2.6,1.8,1.7,1,1.0,0.9,1.7,38.7,79.2,0.2,90.11538461538461
Davy Klaassen,6.89,79,AM(C),33,4,0.9,2,1.9,1.2,1.1,5,1.0,0.5,1.2,36.0,74.5,0.3,85.54545454545455
Rani Khedira,6.89,74,"D(C), DMC",30,1,2.1,0,1.9,3.1,0.6,4,0.5,0.1,0.3,41.8,81.9,0.1,87.56666666666666
Javi Martínez,6.88,83,"D(C), M(C)",16,0,2.5,1,1.2,0.6,0.6,3,0.9,0.2,0.3,43.0,87.8,0.0,82.0625
Tony Jantschke,6.87,75,"D(CR), DMC",10,1,2.2,0,1.1,3.4,0.1,0,0.3,0.1,0.1,57.4,90.0,0.0,93.2
André Hahn,6.87,73,"AM(R), FW",21,4,2.0,1,2.3,1.0,1.1,4,1.3,0.6,1.1,16.3,57.8,0.7,97.61904761904762
Edgar Prib,6.87,72,"D(L), M(CL)",2,1,0.3,1,2.5,0.3,0.5,0,1.5,1.0,1.5,21.3,80.0,0.8,101.5
Sven Bender,6.87,81,"D(C), M(C)",25,0,2.9,0,1.5,3.5,0.4,0,0.5,0.2,0.1,61.8,90.8,0.0,79.8
Makoto Hasebe,6.87,77,"D(CR), M(CR)",28,0,1.1,0,1.9,3.5,0.6,0,0.1,0.2,0.3,52.0,85.0,0.0,90.0
Christian Pulisic,6.86,79,M(CLR),9,4,0.8,1,0.5,0.5,0.2,4,1.4,2.1,1.0,24.2,79.5,0.4,102.66666666666667
Philipp Bargfrede,6.85,76,"D(C), M(C)",13,0,1.9,0,1.5,3.0,1.3,0,0.5,0.3,0.3,36.8,81.9,0.0,83.46153846153847
Giulio Donati,6.85,73,"D(R), M(R)",6,0,0.8,0,1.0,2.3,0.2,0,0.2,0.6,0.8,27.3,76.4,0.7,104.5
Enrico Valentini,6.85,71,"D(R), M(R)",15,2,1.5,0,2.9,3.2,1.2,0,0.5,0.6,1.6,35.3,67.9,1.8,86.8
Danny da Costa,6.85,77,"D(R), M(R)",34,4,1.6,1,1.8,1.6,0.7,2,0.6,0.8,1.0,26.9,62.9,0.6,89.26470588235294
Matthias Zimmermann,6.84,69,"D(R), DMC",34,3,1.1,0,2.9,2.3,1.3,1,0.4,0.6,0.6,37.7,78.5,0.4,89.70588235294117
Salomon Kalou,6.83,79,"AM(CLR), FW",27,2,1.4,1,0.7,0.7,0.6,8,1.6,1.8,1.0,22.7,73.5,0.2,86.18518518518519
Weston McKennie,6.82,74,M(C),19,4,3.6,2,1.2,1.8,1.0,1,1.0,0.7,0.8,25.8,72.0,0.1,91.89473684210526
Dennis Geiger,6.82,70,DMC,2,1,0.5,0,0.5,0.3,1.3,0,1.0,0.3,1.8,34.0,89.7,1.0,123.0
Dodi Lukébakio,6.82,73,"AM(R), FW",22,3,0.7,2,0.8,0.6,0.2,10,1.8,1.6,0.6,17.6,75.8,0.3,89.9090909090909
Kaan Ayhan,6.81,75,"D(C), DMC",28,1,1.6,2,1.9,4.1,0.9,4,0.8,0.4,0.2,50.8,88.1,0.1,87.53571428571429
Karim Onisiwo,6.81,72,"AM(LR), FW",11,3,1.7,2,0.9,0.3,0.3,7,1.5,0.6,0.8,8.8,62.6,0.2,104.81818181818181
Pirmin Schwegler,6.8,76,M(C),25,1,1.2,1,2.3,1.9,1.0,0,0.4,0.6,1.5,40.4,82.0,1.0,83.24
Caiuby,6.79,77,"AM(CL), FW",10,1,4.1,0,0.9,0.6,0.6,1,2.3,0.8,1.0,26.2,69.8,0.4,100.7
Jonathan de Guzmán,6.79,76,M(CLR),17,6,0.9,1,1.2,0.4,0.5,3,0.8,0.5,1.3,29.7,79.1,1.0,92.0
Philipp Max,6.78,78,"D(L), M(L)",30,2,0.8,1,1.2,1.4,0.6,4,0.8,0.4,2.0,27.6,71.8,1.9,85.83333333333333
Matheus Pereira,6.77,76,AM(LR),16,2,0.3,2,0.8,0.4,0.6,3,1.5,2.1,0.7,23.3,74.3,0.2,77.3125
"Dong0,00Won Ji",6.77,71,"AM(CLR), FW",10,1,1.9,0,0.7,0.6,0.7,4,1.6,1.4,0.7,25.9,72.5,0.2,89.2
Franck Ribéry,6.77,83,AM(L),10,3,0.0,1,0.6,0.0,0.2,6,1.0,1.4,0.8,28.1,82.5,0.3,116.8
Alassane Pléa,6.77,81,"AM(LR), FW",28,4,1.1,1,0.4,0.4,0.5,12,2.4,0.7,1.0,18.1,72.0,0.1,89.60714285714286
Ludwig Augustinsson,6.76,77,"D(L), M(L)",34,4,1.9,0,1.6,2.1,0.5,1,0.6,0.4,0.8,45.3,79.9,1.1,89.05882352941177
Mitchell Weiser,6.76,77,"D(R), M(R)",22,3,0.7,2,2.1,1.3,0.8,1,0.4,1.0,1.0,42.9,82.1,0.5,95.95454545454545
"Gian0,00Luca Waldschmidt",6.75,73,"AM(CR), FW",16,1,0.4,2,0.7,0.2,0.6,9,2.1,0.7,0.8,19.3,81.0,0.3,107.4375
Jonas Hofmann,6.75,79,AM(CLR),21,5,0.3,1,1.4,0.5,1.0,5,1.3,0.4,1.3,38.6,84.0,0.6,91.28571428571429
Niko Gießelmann,6.75,73,"D(CL), M(L)",29,3,1.8,0,1.9,2.2,1.1,0,0.9,0.4,0.9,35.9,74.4,0.6,89.41379310344827
Breel Embolo,6.74,76,"AM(R), FW",15,1,1.6,1,1.1,0.3,0.4,5,1.3,1.3,1.0,12.6,64.9,0.1,90.06666666666666
Nicolás González,6.74,71,"AM(L), FW",23,3,3.9,1,0.6,0.9,0.3,2,2.0,1.5,1.0,18.8,62.1,0.2,94.08695652173913
Oliver Fink,6.74,71,M(CL),13,0,3.9,0,2.1,1.1,1.4,3,0.7,0.5,0.3,21.3,58.6,0.1,81.38461538461539
Benito Raman,6.74,73,"AM(LR), FW",19,4,0.2,3,1.2,0.3,1.4,10,1.8,1.2,0.7,13.6,70.3,0.3,88.36842105263158
Dawid Kownacki,6.73,70,"AM(L), FW",7,0,1.4,1,1.3,0.8,0.9,4,1.3,0.5,0.5,14.3,67.8,0.3,82.42857142857143
Walace,6.73,74,DMC,23,1,2.1,0,2.0,1.3,1.3,1,0.7,1.0,0.6,41.2,84.9,0.0,86.8695652173913
Corentin Tolisso,6.73,83,"D(R), M(C)",1,0,1.0,0,0.0,0.0,1.0,1,0.5,0.0,1.0,21.5,79.1,0.0,52.0
Joshua Brenet,6.73,74,"D(LR), M(R)",10,1,0.6,0,1.4,1.3,0.4,2,0.7,1.0,0.6,28.4,82.6,0.5,90.5
Matthias Ginter,6.73,80,"D(CR), DMC",27,0,2.6,1,0.9,3.6,0.3,2,0.9,0.0,0.3,65.3,86.4,0.1,88.14814814814815
Nabil Bentaleb,6.73,78,M(C),19,0,1.5,2,1.3,0.7,0.6,3,0.8,0.8,0.7,36.0,79.3,0.6,94.3157894736842
Steven Zuber,6.72,76,"D(L), M(CLR)",6,1,0.7,0,1.3,0.4,0.8,0,1.8,0.4,1.1,29.8,79.1,0.1,95.66666666666667
Konrad Laimer,6.72,75,"D(R), M(CR)",20,1,0.7,1,2.5,0.7,1.8,1,0.5,1.1,0.7,25.2,70.1,0.2,93.9
Emiliano Insúa,6.72,76,"D(L), M(L)",24,2,0.9,0,1.9,1.7,0.6,2,0.3,1.2,1.0,36.3,76.8,1.1,88.29166666666667
Waldemar Anton,6.72,77,"D(C), DMC",34,0,2.5,0,1.4,4.9,0.8,1,0.7,0.5,0.1,50.4,83.6,0.0,90.0
Christoph Kramer,6.71,81,DMC,13,1,0.9,1,2.3,1.2,1.4,2,0.4,0.5,0.5,40.7,88.9,0.0,87.38461538461539
Oscar Wendt,6.71,76,"D(L), M(L)",30,1,0.8,1,1.4,2.0,0.7,1,0.3,0.2,0.9,47.3,82.0,0.7,91.0
Julian Weigl,6.71,79,"D(C), DMC",16,0,1.1,0,1.8,2.9,0.9,1,0.2,0.3,0.1,66.9,93.2,0.0,91.0
Michael Gregoritsch,6.71,79,"AM(CR), FW",28,2,2.9,1,0.7,1.8,0.8,6,2.7,0.5,0.9,28.4,71.1,0.1,89.07142857142857
"Jean0,00Philippe Gbamin",6.7,79,"D(CR), DMC",30,1,1.7,0,1.6,0.9,0.9,2,1.2,1.1,0.7,43.0,80.4,0.1,89.13333333333334
Marco Richter,6.7,69,AM(LR),17,6,0.9,1,0.5,0.4,0.5,4,2.2,1.4,0.6,17.3,70.0,0.2,84.29411764705883
Genki Haraguchi,6.7,75,M(CLR),22,3,1.0,0,1.6,0.9,1.8,0,1.1,1.6,1.0,26.3,78.1,0.4,96.68181818181819
Tobias Strobl,6.69,77,"D(CR), DMC",26,4,1.3,0,1.1,1.1,0.7,0,0.3,0.2,0.6,51.3,89.9,0.0,88.26923076923077
Yannick Gerhardt,6.69,74,"D(L), M(CL)",28,2,0.8,1,1.7,1.1,0.9,2,1.2,0.3,0.9,32.1,77.8,0.3,87.92857142857143
Danny Latza,6.69,77,DMC,22,3,1.3,1,1.7,1.1,1.7,0,1.6,0.7,1.0,42.3,80.7,0.1,85.13636363636364
Mathew Leckie,6.68,75,AM(CLR),10,0,2.7,0,1.1,0.7,0.5,2,1.2,0.6,0.7,18.6,68.7,0.3,94.0
Amine Harit,6.68,79,AM(CLR),12,1,0.4,1,0.8,0.1,0.9,1,0.7,2.0,1.2,23.6,80.0,0.1,90.25
Benjamin Stambouli,6.68,79,"D(C), M(C)",20,2,0.9,0,2.4,2.9,1.0,0,0.1,0.4,0.4,46.3,76.7,0.1,88.15
Nicolas Höfler,6.67,72,"D(C), DMC",18,0,1.2,0,2.5,2.2,1.2,0,0.7,0.6,0.7,48.8,86.2,0.0,89.77777777777777
Rafinha,6.67,82,"D(CLR), M(R)",9,1,0.4,0,0.9,0.6,0.5,1,0.3,0.3,0.3,49.5,93.3,0.3,99.66666666666667
Florian Neuhaus,6.65,75,M(C),25,8,0.2,0,0.7,0.6,0.8,3,1.6,0.9,0.9,27.1,83.6,0.2,82.88
Robin Quaison,6.65,74,"M(CLR), FW",25,3,0.9,1,0.7,0.1,0.3,7,1.8,0.8,0.8,15.7,72.9,0.1,88.16
Arne Maier,6.65,73,DMC,23,0,0.9,0,1.3,1.4,0.8,0,0.8,0.9,0.8,49.0,86.7,0.1,89.95652173913044
Marcel Schmelzer,6.65,77,"D(CL), M(L)",7,1,1.0,0,1.0,1.2,0.4,0,0.4,0.4,0.3,37.8,84.9,0.3,80.85714285714286
Fabian Lustenberger,6.65,76,"D(C), M(C)",24,1,1.8,1,1.6,3.6,0.6,0,0.1,0.1,0.1,45.8,86.3,0.0,90.45833333333333
Gelson Fernandes,6.64,75,DMC,28,0,1.2,0,2.6,0.6,1.5,1,0.1,0.2,0.1,30.1,83.4,0.0,79.85714285714286
Michael Lang,6.64,77,"D(R), M(R)",15,0,1.2,0,0.8,2.2,0.6,1,0.6,0.1,0.2,38.5,83.6,0.3,84.13333333333334
