Name,Rating,Fifa Ability Overall,Position,Apps,Man of the match,Pass success percentage,Avg Minutes Played
Alireza Jahanbakhsh,6.33,77,AM(CLR),12,0,69.3,85.16666666666667
Andy Carroll,6.33,77,FW,3,0,61.0,152.0
Leighton Baines,6.29,77,"D(L), M(L)",5,0,82.2,75.2
Charlie Austin,6.27,77,FW,11,0,58.6,89.18181818181819
Manolo Gabbiadini,6.25,77,"AM(CLR), FW",4,1,67.8,117.75
Robbie Brady,6.25,77,"D(L), M(CLR)",6,0,62.3,119.66666666666667
Florin Andone,6.22,77,FW,8,0,67.3,109.5
Carlos Sánchez,6.01,77,"D(C), M(C)",2,0,88.8,120.0
Erick Pulgar,7.11,77,DMC,27,3,83.9,87.51851851851852
Tomás Rincón,6.97,77,M(CR),32,1,78.9,87.625
Rodrigo Palacio,6.92,77,"AM(CLR), FW",26,0,77.3,89.8076923076923
Cédric Soares,6.9,77,"D(R), M(R)",3,0,80.1,86.33333333333333
Lorenzo Tonelli,6.85,77,D(C),17,1,88.7,97.23529411764706
Roberto Soriano,6.85,77,AM(CL),17,0,81.6,87.88235294117646
Rodrigo Bentancur,6.84,77,M(C),21,1,87.2,95.04761904761905
Roberto Inglese,6.78,77,FW,23,1,67.5,85.56521739130434
Nicolò Barella,6.73,77,AM(C),35,1,81.8,88.91428571428571
Cengiz Ünder,6.69,77,AM(LR),17,1,77.9,81.05882352941177
Felipe Caicedo,6.68,77,FW,17,1,75.6,81.05882352941177
Sebastien De Maio,6.67,77,D(C),13,0,77.4,90.3076923076923
Ivan Radovanovic,6.63,77,DMC,15,0,81.1,85.46666666666667
Ignazio Abate,6.62,77,"D(R), M(R)",15,0,83.7,87.06666666666666
Blerim Dzemaili,6.61,77,M(C),20,0,79.2,87.5
Wallace,6.61,77,D(C),14,0,84.7,88.14285714285714
Marco Benassi,6.6,77,AM(CR),29,1,76.9,79.17241379310344
Manolo Gabbiadini,6.6,77,"AM(CLR), FW",8,0,77.2,100.875
Giancarlo González,6.59,77,D(C),8,0,76.6,92.75
Amadou Diawara,6.59,77,DMC,8,0,92.8,82.625
Andrea Poli,6.58,77,M(CL),23,0,89.0,84.65217391304348
Patrik Schick,6.58,77,"AM(R), FW",15,1,74.7,87.66666666666667
Kevin Lasagna,6.55,77,"AM(L), FW",26,0,69.9,94.26923076923077
Ivan Radovanovic,6.54,77,DMC,19,0,85.7,89.84210526315789
Juan Jesus,6.53,77,D(CL),15,0,92.0,93.33333333333333
Ragnar Klavan,6.52,77,D(C),15,0,80.6,82.2
Sebastien De Maio,6.52,77,D(C),6,0,83.3,82.16666666666667
Emanuele Giaccherini,6.49,77,M(CLR),22,1,78.4,91.27272727272727
Leonardo Spinazzola,6.49,77,"D(L), M(L)",6,0,83.0,99.66666666666667
Roberto Soriano,6.46,77,AM(CL),6,0,84.6,78.0
Perparim Hetemaj,6.41,77,M(CL),25,0,81.2,86.44
Bruno Jordao,6.35,77,Midfielder,1,0,83.7,87.0
Roberto Piccoli,6.32,77,Forward,0,0,45.5,
Salih Ucan,6.31,77,AM(C),1,0,73.9,249.0
Jordan Lukaku,6.22,77,"D(L), M(L)",1,0,82.6,170.0
Ihlas Bebou,7.34,76,"AM(CLR), FW",12,4,71.5,89.0
Ishak Belfodil,7.29,76,"AM(LR), FW",20,4,72.2,93.2
Sebastian Rode,7.1,76,"D(R), M(C)",12,0,83.4,77.58333333333333
Theodor Gebre Selassie,7.03,76,"D(LR), DMC, M(R)",32,1,79.8,87.96875
Almamy Touré,7.03,76,D(CR),6,0,73.3,86.66666666666667
Milot Rashica,6.98,76,"AM(LR), FW",19,3,69.1,82.05263157894737
Admir Mehmedi,6.96,76,"M(CLR), FW",20,1,76.4,85.05
Stefan Bell,6.87,76,D(CR),25,1,79.8,90.0
Robin Knoche,6.86,76,D(C),31,1,85.9,90.0
Philipp Bargfrede,6.85,76,"D(C), M(C)",13,0,81.9,83.46153846153847
Pirmin Schwegler,6.8,76,M(C),25,1,82.0,83.24
Jonathan de Guzmán,6.79,76,M(CLR),17,1,79.1,92.0
Timo Baumgartl,6.78,76,D(C),18,1,81.9,90.0
Matheus Pereira,6.77,76,AM(LR),16,2,74.3,77.3125
Ermin Bicakcic,6.76,76,D(C),20,1,88.6,89.4
Breel Embolo,6.74,76,"AM(R), FW",15,1,64.9,90.06666666666666
Steven Zuber,6.72,76,"D(L), M(CLR)",6,0,79.1,95.66666666666667
Emiliano Insúa,6.72,76,"D(L), M(L)",24,0,76.8,88.29166666666667
Oscar Wendt,6.71,76,"D(L), M(L)",30,1,82.0,91.0
Ádám Szalai,6.69,76,FW,15,1,71.1,108.06666666666666
Fabian Lustenberger,6.65,76,"D(C), M(C)",24,1,86.3,90.45833333333333
Daniel Brosinski,6.63,76,"D(LR), M(LR)",26,1,74.2,84.84615384615384
Sebastian Langkamp,6.62,76,D(C),15,0,88.5,94.06666666666666
Ja-Cheol Koo,6.61,76,"M(CLR), M(CLR)",19,0,80.8,86.52631578947368
Milos Veljkovic,6.6,76,"D(C), DMC",21,1,84.7,89.42857142857143
Josip Brekalo,6.59,76,AM(CLR),15,0,73.0,94.4
Carlos Salcedo,6.58,76,D(CR),6,0,80.0,76.83333333333333
Tin Jedvaj,6.52,76,D(CLR),13,0,79.6,86.3076923076923
Steven Zuber,6.47,76,"D(L), M(CLR)",13,0,76.3,81.46153846153847
Florian Kainz,6.47,76,AM(CL),5,0,72.2,75.0
Håvard Nordtveit,6.4,76,"D(CR), DMC",4,0,83.3,117.0
Felix Klaus,6.39,76,AM(CLR),5,0,78.8,87.6
Felix Uduokhai,6.32,76,D(C),2,0,84.2,119.0
Jetro Willems,6.31,76,"D(L), DMC, M(L)",7,0,71.0,102.85714285714286
Benjamin Henrichs,5.49,76,"D(LR), M(R)",1,0,81.8,64.0
Mario Hermoso,6.95,76,D(C),31,3,83.9,90.51612903225806
Raúl de Tomás,6.94,76,FW,32,3,81.7,88.15625
Aritz Elustondo,6.93,76,D(CR),24,1,78.9,93.875
Júnior Firpo,6.93,76,"D(L), M(L)",22,1,82.9,88.04545454545455
Marc Roca,6.9,76,DMC,35,0,86.9,89.02857142857142
Jaime Mata,6.88,76,FW,27,3,62.9,90.25925925925925
David Juncà,6.79,76,D(L),21,1,83.5,83.71428571428571
Adrián Embarba,6.78,76,"AM(LR), FW",27,1,71.9,84.85185185185185
Rubén Duarte,6.77,76,D(L),33,0,67.2,84.15151515151516
Mauro Arambarri,6.76,76,DMC,32,1,69.4,83.96875
Rodrigo Ely,6.73,76,D(C),5,0,71.3,86.2
Raúl Navas,6.72,76,D(C),15,0,86.6,87.4
Joris Gnagnon,6.71,76,D(C),4,0,90.3,111.25
Paulo Oliveira,6.7,76,D(C),24,0,68.7,93.45833333333333
Pablo Ínsua,6.68,76,D(C),10,0,78.0,77.9
David Zurutuza,6.63,76,M(CL),13,1,80.8,94.07692307692308
Wesley Hoedt,6.6,76,D(C),9,0,84.7,99.22222222222223
Recio,6.6,76,M(C),15,0,84.6,85.86666666666666
Aday Benítez,6.58,76,M(LR),8,0,80.8,80.875
Gustavo Cabral,6.58,76,D(C),21,0,87.1,90.38095238095238
Carles Planas,6.53,76,"D(L), M(L)",4,0,71.2,104.5
Jordi Amat,6.5,76,"D(C), DMC",31,0,82.4,89.16129032258064
Juanmi,6.48,76,"AM(CLR), FW",16,1,80.2,95.125
Rubén Sobrino,6.48,76,"AM(R), FW",10,2,68.4,96.4
Moses Simon,6.43,76,M(CLR),8,0,69.5,97.625
Nabil El Zhar,6.4,76,M(CLR),9,2,75.2,106.22222222222223
Nikola Vukcevic,6.39,76,DMC,9,0,82.4,74.55555555555556
Pablo Piatti,6.39,76,M(LR),6,0,75.1,122.5
Gaël Kakuta,6.35,76,M(CLR),9,0,76.6,80.0
Rubén Sobrino,6.33,76,"AM(R), FW",2,0,76.6,96.0
Emmanuel Boateng,6.32,76,"AM(R), FW",7,0,65.3,99.28571428571429
Jesé,6.32,76,"AM(LR), FW",9,0,75.1,86.88888888888889
Antonio Barragán,6.29,76,"D(R), M(R)",12,0,86.0,78.08333333333333
Seydou Doumbia,6.23,76,FW,5,0,71.4,107.2
Javier Eraso,6.2,76,AM(C),9,0,81.3,70.66666666666667
Iván Alejo,5.96,76,AM(R),2,0,46.9,73.5
Nicolas Pépé,7.62,76,"AM(R), FW",37,13,79.1,90.05405405405405
Andy Delort,7.27,76,"AM(R), FW",36,3,63.9,87.0
Thiago Mendes,7.27,76,"D(R), M(CR)",35,3,84.8,88.05714285714286
Almamy Touré,7.1,76,D(CR),4,0,85.7,86.75
Christophe Herelle,7.07,76,D(C),33,0,88.7,89.03030303030303
Florent Mollet,7.05,76,AM(CL),31,3,87.3,83.2258064516129
Gaetan Laborde,7.04,76,"AM(C), FW",35,3,67.4,83.31428571428572
Naïm Sliti,7.01,76,AM(CL),25,2,76.8,91.6
Ismaila Sarr,6.99,76,"AM(LR), FW",32,3,76.5,87.34375
Ole Selnaes,6.97,76,"DMC, DMC",19,0,82.5,88.10526315789474
Jonas Martin,6.96,76,M(CL),23,2,88.4,89.6086956521739
Moussa Dembele,6.95,76,FW,21,1,74.6,96.04761904761905
Alexander Djiku,6.94,76,D(CR),31,3,83.0,88.87096774193549
MBaye Niang,6.88,76,"AM(LR), FW",19,1,72.6,94.42105263157895
Christopher Nkunku,6.88,76,"M(CLR), M(CLR)",13,2,91.0,88.84615384615384
Abdoulaye Touré,6.85,76,DMC,30,1,80.4,91.66666666666667
Juan Bernat,6.84,76,"D(L), M(CL)",21,0,90.8,87.52380952380952
Pablo,6.84,76,D(C),25,1,84.4,77.72
Thomas Monconduit,6.84,76,DMC,32,1,77.9,88.15625
Romain Thomas,6.81,76,D(C),27,3,85.1,88.70370370370371
Jérémy Morel,6.77,76,D(CL),12,0,88.9,88.75
Benjamin Henrichs,6.75,76,"D(LR), M(R)",21,0,74.0,87.0
Jason Denayer,6.75,76,"D(CR), DMC",31,0,93.8,88.64516129032258
Romain Hamouma,6.72,76,"M(CLR), FW",19,2,78.4,83.94736842105263
Paul Baysse,6.69,76,D(CR),20,0,80.0,89.45
Souleyman Doumbia,6.66,76,D(L),7,0,87.6,86.57142857142857
Younousse Sankharé,6.59,76,M(C),17,1,76.4,87.17647058823529
Gabriel Boschilia,6.57,76,AM(CLR),14,0,80.7,94.42857142857143
Moussa Konaté,6.57,76,"AM(R), FW",21,1,67.7,89.61904761904762
Jimmy Briand,6.55,76,"M(LR), FW",28,1,73.6,89.32142857142857
Yannis Salibur,6.54,76,"AM(CLR), FW",9,0,79.3,98.11111111111111
Pablo Chavarria,6.53,76,"AM(R), FW",23,0,62.3,86.0
Jean Eudes Aholou,6.53,76,DMC,12,0,84.9,89.66666666666667
Paul Baysse,6.51,76,D(CR),0,0,72.7,
Christophe Kerbrat,6.47,76,D(C),25,1,78.0,83.92
Ganso,6.46,76,AM(C),5,0,87.0,103.4
Thomas Mangani,6.46,76,M(C),18,0,83.0,88.77777777777777
Gaetan Laborde,6.44,76,"AM(C), FW",1,0,45.5,90.0
Valentin Eysseric,6.24,76,AM(CLR),3,0,81.1,70.0
Ciaran Clark,7.06,76,D(CL),9,1,75.0,95.33333333333333
Ayoze Pérez,6.95,76,"AM(CLR), FW",34,3,75.9,86.11764705882354
Michail Antonio,6.92,76,"D(R), M(CLR), FW",22,2,68.1,95.5
Pierre-Emile Højbjerg,6.87,76,"M(C), M(C)",31,2,82.9,89.16129032258064
Danny Ings,6.83,76,"AM(C), FW",23,0,71.4,72.52173913043478
James McArthur,6.8,76,M(CLR),36,1,79.3,85.33333333333333
Robert Snodgrass,6.78,76,AM(CLR),25,3,82.1,88.96
Wesley Hoedt,6.77,76,D(C),13,0,78.6,90.0
Ashley Barnes,6.75,76,"AM(CL), FW",26,2,59.1,91.84615384615384
Pablo Zabaleta,6.74,76,"D(R), DMC, M(R)",23,0,76.7,90.95652173913044
Rob Holding,6.74,76,D(CR),9,1,87.5,89.66666666666667
Víctor Camarasa,6.72,76,M(CR),31,0,75.1,83.19354838709677
Patrick van Aanholt,6.71,76,"D(L), M(L)",36,0,79.8,88.83333333333333
Adam Smith,6.71,76,"D(LR), M(R)",25,0,82.0,82.92
Aaron Cresswell,6.68,76,"D(CL), M(L)",18,0,81.4,88.38888888888889
Marc Albrighton,6.68,76,M(LR),18,0,65.9,90.38888888888889
Christian Benteke,6.66,76,FW,9,1,56.9,90.33333333333333
Dale Stephens,6.66,76,M(C),29,1,83.7,85.75862068965517
Mark Noble,6.65,76,M(C),29,0,85.3,79.58620689655173
Anthony Knockaert,6.64,76,AM(LR),18,0,76.9,101.83333333333333
Sam Vokes,6.63,76,FW,10,0,50.7,91.6
Federico Fernández,6.62,76,D(C),17,0,78.9,87.29411764705883
Cheikhou Kouyaté,6.61,76,"D(CR), DMC",21,0,80.1,90.33333333333333
Mason Holgate,6.61,76,"D(CR), M(R)",4,0,76.7,101.75
Jonathan Hogg,6.6,76,DMC,29,0,83.2,81.96551724137932
Matteo Darmian,6.59,76,"D(CLR), M(LR)",5,0,85.1,88.8
Ki Sung-yueng,6.57,76,"DMC, DMC",14,0,85.1,93.0
Kiko Femenía,6.55,76,"D(R), M(R)",22,0,83.1,93.0
Kenedy,6.53,76,"D(L), M(L)",14,1,72.3,96.07142857142857
Demarai Gray,6.51,76,"AM(CLR), FW",23,0,77.6,86.78260869565217
DeAndre Yedlin,6.5,76,"D(R), M(R)",28,0,71.6,88.39285714285714
Jordan Ayew,6.5,76,"AM(CLR), FW",14,1,77.7,84.78571428571429
Fernando Llorente,6.49,76,FW,6,0,66.4,114.16666666666667
Luciano Vietto,6.48,76,"AM(R), FW",10,0,78.8,98.7
Aaron Lennon,6.38,76,M(LR),14,1,78.8,86.92857142857143
Mousa Dembélé,6.38,76,M(CR),7,0,89.6,73.71428571428571
Diego Rico,6.36,76,"D(L), M(L)",5,0,72.6,121.2
Andre Gray,6.35,76,FW,13,0,65.7,104.76923076923077
Tom Cleverley,6.35,76,M(CLR),4,0,78.7,118.0
Håvard Nordtveit,6.29,76,"D(CR), DMC",4,0,83.1,90.25
Yoshinori Muto,6.23,76,FW,5,0,70.8,103.8
Nathaniel Chalobah,6.07,76,DMC,3,0,75.0,89.0
Armando Izzo,7.24,76,D(C),37,6,77.8,88.48648648648648
Kevin Malcuit,7.11,76,"D(R), M(R)",20,1,85.9,90.3
Remo Freuler,7.02,76,DMC,35,0,88.2,86.57142857142857
Marten de Roon,7.0,76,DMC,34,1,87.5,87.55882352941177
Albin Ekdal,6.99,76,M(C),30,1,86.5,88.4
Dalbert,6.99,76,"D(L), M(L)",9,1,79.9,86.44444444444444
Dennis Praet,6.99,76,AM(C),33,1,87.3,87.75757575757575
Cristiano Biraghi,6.92,76,"D(L), M(L)",36,1,75.9,88.77777777777777
Soualiho Meité,6.88,76,AM(C),30,1,82.2,88.76666666666667
Vitor Hugo,6.87,76,D(C),27,1,87.0,91.44444444444444
José Luis Palomino,6.84,76,D(C),25,0,88.3,90.48
Rômulo,6.84,76,"D(R), M(CR)",9,0,88.2,86.44444444444444
Nicola Sansone,6.81,76,"AM(LR), FW",13,1,77.2,87.92307692307692
Andrea Petagna,6.81,76,FW,35,1,79.6,86.94285714285714
Karol Linetty,6.79,76,M(C),30,0,84.1,83.96666666666667
Rômulo,6.74,76,"D(R), M(CR)",17,0,79.3,79.88235294117646
Omar Colley,6.74,76,D(C),21,0,88.0,84.04761904761905
Valon Behrami,6.72,76,M(C),17,1,82.1,80.47058823529412
João Pedro,6.65,76,"AM(C), FW",30,1,74.5,85.7
Fabio Borini,6.6,76,"M(LR), FW",10,0,71.8,104.9
Alex Berenguer,6.6,76,"D(LR), M(CL)",15,0,77.1,98.6
Valentin Eysseric,6.59,76,AM(CLR),4,0,81.8,89.25
Davide Santon,6.57,76,D(LR),11,0,87.3,91.36363636363636
Mario Pasalic,6.57,76,M(C),17,0,83.0,95.23529411764706
Luca Rossettini,6.57,76,D(CR),20,0,85.2,91.1
Federico Viviani,6.49,76,DMC,5,0,84.6,68.2
Federico Di Francesco,6.46,76,M(LR),14,1,85.3,77.21428571428571
Luca Antonelli,6.46,76,"D(L), M(CL)",10,0,71.5,76.1
Iuri Medeiros,6.44,76,"AM(CR), FW",2,0,90.2,54.0
Marko Pjaca,6.43,76,"AM(L), FW",8,0,76.1,93.25
Matheus Pereira,6.41,76,Midfielder,1,0,84.6,91.0
Mirco Antenucci,6.4,76,"AM(C), FW",22,0,79.7,96.63636363636364
Ladislav Krejci,6.39,76,M(L),11,0,83.6,96.63636363636364
Valon Berisha,6.37,76,AM(C),1,0,87.1,192.0
Gianluca Lapadula,6.37,76,FW,4,0,66.2,100.75
Mattia Destro,6.29,76,FW,5,1,54.7,98.0
Joel Campbell,6.29,76,"AM(LR), FW",11,0,76.8,81.27272727272727
Godfred Donsah,6.23,76,DMC,1,0,84.5,148.0
Cyril Théréau,6.21,76,"AM(CL), FW",1,0,72.7,123.0
Andrea Ranocchia,6.18,76,D(C),0,0,53.3,
Lukasz Teodorczyk,6.18,76,FW,2,0,63.7,195.5
Riza Durmisi,6.17,76,"D(L), M(L)",2,0,77.6,159.5
Alberto Paloschi,6.15,76,FW,8,0,76.1,106.5
Jakub Jankto,6.15,76,AM(CL),7,0,82.8,135.57142857142858
Joelinton,7.21,75,FW,25,1,79.3,85.44
Kevin Stöger,7.17,75,M(CL),24,3,85.0,88.375
Ondrej Duda,7.02,75,"AM(C), FW",30,5,76.9,85.83333333333333
Lukas Klostermann,7.01,75,"D(LR), M(R)",22,2,74.0,91.04545454545455
Dan-Axel Zagadou,6.92,75,D(CL),15,0,87.8,84.46666666666667
Tony Jantschke,6.87,75,"D(CR), DMC",10,0,90.0,93.2
Naldo,6.83,75,D(C),7,0,80.3,90.0
Kaan Ayhan,6.81,75,"D(C), DMC",28,2,88.1,87.53571428571429
Marcelo Saracchi,6.77,75,D(L),7,0,71.5,93.14285714285714
Konrad Laimer,6.72,75,"D(R), M(CR)",20,1,70.1,93.9
Genki Haraguchi,6.7,75,M(CLR),22,0,78.1,96.68181818181819
Mathew Leckie,6.68,75,AM(CLR),10,0,68.7,94.0
Gonçalo Paciência,6.67,75,FW,4,1,61.3,97.0
Florian Neuhaus,6.65,75,M(C),25,0,83.6,82.88
Gelson Fernandes,6.64,75,DMC,28,0,83.4,79.85714285714286
Ibrahima Traoré,6.62,75,AM(LR),5,1,80.0,109.8
Josip Drmic,6.62,75,"AM(LR), FW",2,0,89.8,109.5
Konstantinos Stafylidis,6.61,75,"D(L), DMC, M(L)",11,0,80.3,83.81818181818181
Hanno Behrens,6.6,75,M(C),30,1,67.6,88.1
Felipe,6.6,75,D(C),14,0,74.7,78.42857142857143
Christian Günter,6.59,75,"D(L), M(L)",32,0,76.6,90.0
Jérôme Gondorf,6.57,75,M(CR),13,0,72.9,99.6923076923077
Renato Steffen,6.57,75,M(LR),18,0,76.0,83.72222222222223
Pablo De Blasis,6.53,75,"D(R), M(CLR)",1,0,60.7,90.0
Dennis Aogo,6.52,75,"D(L), M(CL)",13,0,87.0,79.07692307692308
Franco Di Santo,6.5,75,"AM(CLR), FW",3,0,53.3,82.33333333333333
Mijat Gacinovic,6.47,75,M(CLR),16,0,72.0,101.4375
Stefan Ilsanker,6.44,75,"D(CR), DMC",10,0,78.6,92.8
Kevin Akpoguma,6.44,75,D(C),5,0,84.4,99.6
Matthias Ostrzolek,6.4,75,"D(L), DMC, M(L)",16,0,75.1,91.625
Kevin Wimmer,6.38,75,D(C),17,0,80.8,98.76470588235294
Florian Niederlechner,6.38,75,"AM(CR), FW",12,1,70.0,81.0
Renato Sanches,6.36,75,M(C),4,0,90.8,141.75
Julian Korb,6.35,75,"D(R), M(R)",11,0,71.2,91.63636363636364
Jeffrey Bruma,6.26,75,D(C),7,0,79.8,89.0
Peter Pekarík,6.26,75,D(LR),2,0,74.5,108.0
Kevin Akpoguma,6.2,75,D(C),4,0,78.7,78.5
Erik Thommy,6.19,75,AM(CLR),6,0,79.4,132.16666666666666
Yoric Ravet,6.04,75,M(R),0,0,75.0,
Guillermo Maripán,7.2,75,D(C),22,2,75.3,91.31818181818181
Rubén Rochina,7.06,75,M(CLR),23,2,72.8,78.91304347826087
Brais Méndez,6.99,75,AM(CR),27,1,78.5,87.18518518518519
Unai Núñez,6.96,75,D(C),11,1,87.3,96.63636363636364
Martín Mantovani,6.93,75,D(C),6,1,79.6,116.5
Guido Carrillo,6.91,75,FW,23,4,63.7,86.73913043478261
Naldo,6.9,75,D(C),16,0,81.3,85.375
Mikel Merino,6.88,75,M(C),24,2,79.6,85.875
Ximo Navarro,6.88,75,D(CR),28,1,79.1,90.46428571428571
Pedro Alcalá,6.88,75,D(C),20,1,79.4,93.45
Íñigo Martínez,6.85,75,D(C),33,0,78.0,87.96969696969697
Javi López,6.83,75,"D(R), DMC",21,1,78.1,92.80952380952381
Joseba Zaldua,6.8,75,D(R),25,0,77.4,85.68
Sergi Guardiola,6.79,75,FW,17,0,65.6,89.17647058823529
Jason,6.76,75,M(R),26,0,69.1,89.73076923076923
Unai Bustinza,6.74,75,D(CR),24,1,71.4,84.54166666666667
Néstor Araújo,6.73,75,D(C),30,1,86.0,89.4
Alejandro Gálvez,6.73,75,"D(C), M(C)",17,0,81.1,83.41176470588235
Alfonso Pedraza,6.72,75,"D(L), M(L)",22,2,75.8,94.95454545454545
Iñigo Córdoba,6.67,75,AM(L),15,0,70.0,88.26666666666667
Juan Hernández,6.66,75,FW,25,0,70.0,86.2
Rubén Pérez,6.66,75,M(C),27,0,80.2,91.5925925925926
Chema Rodríguez,6.64,75,D(C),13,0,73.9,96.46153846153847
Facundo Roncaglia,6.64,75,D(CLR),7,0,80.3,86.14285714285714
Rubén Pardo,6.63,75,M(C),16,0,82.9,85.875
Francis,6.63,75,"D(R), M(LR)",22,0,81.5,81.36363636363636
Maxime Gonalons,6.6,75,"D(C), M(C)",5,0,82.6,107.4
Facundo Roncaglia,6.59,75,D(CLR),12,0,84.1,89.25
Sergio Álvarez,6.57,75,"D(C), M(C)",12,0,79.3,88.75
Martín Aguirregabiria,6.56,75,D(R),23,0,68.9,88.43478260869566
Ibrahim Amadou,6.53,75,"D(C), DMC",7,1,85.8,108.28571428571429
Álvaro Medrán,6.53,75,M(C),12,1,83.1,95.66666666666667
Keko,6.53,75,M(R),20,0,71.9,77.25
Íñigo Lekue,6.51,75,"D(LR), M(LR)",2,0,82.4,105.0
Borja Mayoral,6.5,75,FW,16,0,80.6,100.875
Mubarak Wakaso,6.49,75,M(CLR),18,0,77.3,92.66666666666667
Júnior Alonso,6.49,75,D(CL),6,0,75.9,89.16666666666667
Marko Rog,6.48,75,DMC,4,0,86.4,88.75
Francisco Portillo,6.47,75,M(CLR),19,0,76.5,104.84210526315789
Gonzalo Melero,6.45,75,AM(C),14,0,86.2,96.21428571428571
Pablo De Blasis,6.45,75,"D(R), M(CLR)",16,1,70.4,94.8125
Mikel Rico,6.45,75,M(C),3,0,79.8,81.0
Sergio Postigo,6.44,75,D(C),17,0,77.7,85.3529411764706
Emerson,6.41,75,D(R),4,0,81.5,79.5
Sebastián Cristóforo,6.4,75,M(C),4,1,77.6,110.75
Daniele Bonera,6.38,75,D(CR),4,0,90.3,58.25
Pere Milla,6.35,75,M(L),5,0,57.0,68.8
Sandro Ramírez,6.33,75,"AM(LR), FW",10,0,78.1,105.1
Unai López,6.33,75,M(CR),3,0,88.8,108.66666666666667
Borja Bastón,6.31,75,FW,18,0,61.8,80.5
Mikel Balenziaga,6.28,75,D(L),6,0,74.0,86.66666666666667
Mathias Jensen,6.28,75,M(C),3,0,78.2,78.33333333333333
Jozabed Sánchez,6.27,75,M(C),14,0,84.9,82.78571428571429
Burgui,6.23,75,AM(LR),5,0,79.7,109.6
Sabin Merino,6.11,75,"AM(L), FW",2,0,76.1,144.5
Franco Di Santo,5.91,75,"AM(CLR), FW",1,0,63.9,170.0
Flavien Tait,7.3,75,AM(CLR),34,4,78.8,88.08823529411765
Ghislain Konan,7.02,75,D(L),20,0,77.5,90.0
Frederic Guilbert,6.97,75,"D(CLR), M(R)",33,2,74.2,88.39393939393939
Pierrick Capelle,6.87,75,"D(L), M(CLR)",21,2,83.9,87.85714285714286
Ramy Bensebaini,6.86,75,"D(CL), DMC",24,0,77.9,89.75
Malang Sarr,6.85,75,D(CL),34,0,89.8,88.08823529411765
Björn Engels,6.83,75,D(C),33,0,83.8,90.0
Júlio Tavares,6.82,75,"AM(LR), FW",31,1,58.6,90.45161290322581
Youssef Aït Bennasser,6.82,75,DMC,12,0,86.3,89.5
Daniel Congré,6.8,75,D(CLR),37,1,81.9,89.0
Mexer,6.78,75,D(C),29,0,89.0,85.24137931034483
Youssef Aït Bennasser,6.77,75,"DMC, DMC",11,1,87.6,85.27272727272727
Lima,6.74,75,"D(L), M(L)",28,1,73.3,89.10714285714286
Timothée Kolodziejczak,6.73,75,"D(CL), D(CL)",35,0,82.0,90.97142857142858
Maxwel Cornet,6.71,75,"AM(LR), FW",12,2,77.3,106.33333333333333
Maxime Lopez,6.71,75,M(C),25,0,91.3,87.52
Adrien Thomasson,6.7,75,M(CLR),28,0,78.1,88.92857142857143
Dimitri Lienard,6.7,75,M(CL),15,0,83.8,86.13333333333334
Ludovic Blas,6.69,75,M(CLR),27,1,77.2,88.11111111111111
Lucas Deaux,6.69,75,"D(C), DMC",17,1,70.4,70.41176470588235
Christophe Jallet,6.67,75,D(LR),11,0,84.1,80.54545454545455
Lukas Lerager,6.67,75,DMC,15,0,79.6,86.66666666666667
Kelvin Amian,6.66,75,D(CLR),32,1,77.8,90.0
Rolando,6.65,75,D(C),9,0,87.3,89.33333333333333
Yann Karamoh,6.65,75,"AM(R), FW",13,0,77.3,94.15384615384616
Lucas Evangelista,6.64,75,M(CLR),9,1,76.5,80.44444444444444
Antonio Barreca,6.64,75,D(L),7,0,75.0,85.14285714285714
Danilo,6.61,75,DMC,18,0,85.6,86.22222222222223
Andreas Cornelius,6.6,75,FW,6,0,65.7,130.5
Stefan Mitrovic,6.58,75,D(C),34,0,90.5,89.05882352941177
Jimmy Durmaz,6.58,75,AM(CLR),21,1,77.0,90.71428571428571
Ismael Traoré,6.55,75,D(CR),29,0,85.5,90.89655172413794
Laurent Ciman,6.54,75,D(C),7,0,87.5,102.14285714285714
Claudio Beauvue,6.54,75,"AM(CLR), FW",16,1,67.0,93.625
Paul Lasne,6.51,75,M(CLR),18,1,81.8,98.94444444444444
Anthony Limbombe,6.49,75,"AM(L), FW",12,0,76.0,102.83333333333333
Romain Amalfitano,6.48,75,M(CR),30,0,78.8,84.33333333333333
Ronny Rodelin,6.46,75,"AM(CLR), FW",8,0,72.1,98.25
Nolan Roux,6.42,75,"AM(LR), FW",17,0,67.1,90.47058823529412
Younn Zahary,6.41,75,Defender,7,0,70.6,104.57142857142857
Marcus Coco,6.41,75,"AM(LR), FW",21,0,68.0,87.66666666666667
Chang-Hoon Kwon,6.37,75,"AM(R), AM(R)",10,0,74.7,93.6
Thiago Maia,6.36,75,DMC,10,1,83.1,101.5
Andrea Raggi,6.27,75,D(CLR),6,0,84.0,82.66666666666667
Bongani Zungu,6.25,75,DMC,3,0,85.3,77.0
Pelé,6.22,75,DMC,4,0,83.3,112.25
Naldo,6.18,75,D(C),5,0,84.3,60.8
Fabian Schär,7.3,75,D(C),22,6,68.1,91.0909090909091
Sol Bamba,7.15,75,"D(C), DMC",28,3,69.1,88.46428571428571
Matt Doherty,7.12,75,"D(LR), M(R)",35,2,71.6,89.91428571428571
Danilo,7.01,75,D(LR),9,1,87.0,89.55555555555556
Nathan Redmond,6.91,75,"AM(CLR), FW",36,3,75.4,91.05555555555556
Bernardo,6.9,75,D(LR),19,0,72.7,92.15789473684211
