Name,Rating,Fifa Ability Overall,Position,Apps,Aerials Won per game,Man of the match,Tackles,Clearances per game,Passes per game,Pass success percentage,Unnamed: 32,Avg Minutes Played
Mitchell Weiser,6.76,77,"D(R), M(R)",22.0,0.7,2.0,2.1,1.3,42.9,82.1,,95.95454545454545
Ermin Bicakcic,6.76,76,D(C),20.0,2.2,1.0,1.3,3.0,45.9,88.6,,89.4
David Abraham,6.75,79,D(C),17.0,2.4,1.0,1.3,3.6,38.7,77.4,,83.6470588235294
Niko Gießelmann,6.75,73,"D(CL), M(L)",29.0,1.8,0.0,1.9,2.2,35.9,74.4,,89.41379310344827
Evan Ndicka,6.74,71,D(C),24.0,2.7,0.0,1.6,4.2,40.9,79.3,,95.91666666666667
Benjamin Pavard,6.73,80,D(CR),29.0,2.8,0.0,1.0,6.4,49.8,84.6,,89.86206896551724
Corentin Tolisso,6.73,83,"D(R), M(C)",1.0,1.0,0.0,0.0,0.0,21.5,79.1,,52.0
Joshua Brenet,6.73,74,"D(LR), M(R)",10.0,0.6,0.0,1.4,1.3,28.4,82.6,,90.5
Matthias Ginter,6.73,80,"D(CR), DMC",27.0,2.6,1.0,0.9,3.6,65.3,86.4,,88.14814814814815
Steven Zuber,6.72,76,"D(L), M(CLR)",6.0,0.7,0.0,1.3,0.4,29.8,79.1,,95.66666666666667
Konrad Laimer,6.72,75,"D(R), M(CR)",20.0,0.7,1.0,2.5,0.7,25.2,70.1,,93.9
Jeffrey Gouweleeuw,6.72,79,D(C),24.0,1.9,0.0,1.7,2.6,48.2,77.1,,87.20833333333333
Emiliano Insúa,6.72,76,"D(L), M(L)",24.0,0.9,0.0,1.9,1.7,36.3,76.8,,88.29166666666667
Waldemar Anton,6.72,77,"D(C), DMC",34.0,2.5,0.0,1.4,4.9,50.4,83.6,,90.0
Oscar Wendt,6.71,76,"D(L), M(L)",30.0,0.8,1.0,1.4,2.0,47.3,82.0,,91.0
Julian Weigl,6.71,79,"D(C), DMC",16.0,1.1,0.0,1.8,2.9,66.9,93.2,,91.0
"Jean0,00Philippe Gbamin",6.7,79,"D(CR), DMC",30.0,1.7,0.0,1.6,0.9,43.0,80.4,,89.13333333333334
Aleksandar Dragovic,6.7,77,D(C),13.0,1.6,0.0,1.0,3.4,60.5,89.8,,102.53846153846153
Dominique Heintz,6.69,77,D(CL),34.0,1.8,0.0,1.2,6.3,48.5,82.1,,89.82352941176471
Tobias Strobl,6.69,77,"D(CR), DMC",26.0,1.3,0.0,1.1,1.1,51.3,89.9,,88.26923076923077
Yannick Gerhardt,6.69,74,"D(L), M(CL)",28.0,0.8,1.0,1.7,1.1,32.1,77.8,,87.92857142857143
