Name,Rating,Fifa Ability Overall,Position,Apps,Aerials Won per game,Man of the match,Tackles,Clearances per game,Passes per game,Pass success percentage,Unnamed: 32,Avg Minutes Played
Lucas Deaux,6.69,75,"D(C), DMC",17.0,1.8,1.0,2.3,0.4,28.5,70.4,,70.41176470588235
Presnel Kimpembe,6.69,83,"D(C), D(C)",23.0,1.0,0.0,2.3,1.9,60.9,93.6,,87.21739130434783
Paul Baysse,6.69,76,D(CR),20.0,3.1,0.0,1.3,5.6,41.0,80.0,,89.45
Nicolas Cozza,6.69,69,D(C),11.0,1.3,0.0,1.6,2.7,36.8,84.1,,89.63636363636364
Anthony Caci,6.68,66,"D(C), M(L)",26.0,0.8,0.0,1.9,1.9,42.2,81.4,,88.5
Olivier Boscagli,6.67,71,D(CL),10.0,1.5,0.0,1.4,2.4,39.3,79.5,,86.3
Christophe Jallet,6.67,75,D(LR),11.0,0.6,0.0,2.0,2.1,39.1,84.1,,80.54545454545455
Layvin Kurzawa,6.67,79,"D(L), M(L)",11.0,1.5,1.0,1.0,0.8,24.9,84.4,,91.9090909090909
Souleyman Doumbia,6.66,76,D(L),7.0,1.6,0.0,1.6,2.3,41.6,87.6,,86.57142857142857
Kelvin Amian,6.66,75,D(CLR),32.0,1.5,1.0,2.1,3.2,30.3,77.8,,90.0
Rolando,6.65,75,D(C),9.0,1.9,0.0,1.8,2.5,41.6,87.3,,89.33333333333333
François Moubandje,6.65,72,D(CL),21.0,1.8,0.0,1.7,3.1,37.5,78.6,,92.14285714285714
"Duje Caleta0,00Car",6.65,74,"D(C), D(C)",17.0,3.3,0.0,1.1,4.2,41.1,84.5,,90.94117647058823
Faitout Maouassa,6.64,69,"D(L), M(L)",25.0,0.7,0.0,2.0,2.4,24.9,71.2,,85.52
Antonio Barreca,6.64,75,D(L),7.0,1.6,0.0,1.6,2.4,24.0,75.0,,85.14285714285714
Cédric Yambéré,6.64,70,"D(C), DMC",30.0,2.0,0.0,1.4,4.0,36.8,83.2,,93.43333333333334
Oussama Haddadi,6.64,71,D(CL),30.0,0.9,1.0,1.6,2.2,38.0,76.5,,89.26666666666667
"Pierre0,00Yves Polomat",6.63,68,"D(L), M(L)",11.0,0.9,0.0,1.0,0.9,23.7,80.8,,86.27272727272727
Florian Miguel,6.63,67,D(CL),12.0,1.6,0.0,1.5,3.4,32.1,76.7,,93.08333333333333
Tomas Hubocan,6.63,71,D(CLR),0.0,2.0,0.0,1.5,2.5,8.5,70.6,,
Bafode Diakite,6.62,61,D(C),7.0,2.4,0.0,1.7,2.4,29.4,80.0,,90.28571428571429
Thomas Fontaine,6.6,69,D(C),4.0,1.4,0.0,0.9,4.0,28.9,85.6,,104.25
Fabio,6.6,71,"D(LR), M(R)",15.0,1.1,0.0,2.7,1.2,24.0,76.3,,85.8
Gabriel Silva,6.59,73,"D(LR), M(L)",16.0,1.6,0.0,1.0,2.7,22.6,81.1,,89.5625
Djibril Sidibé,6.58,79,"D(LR), M(R)",22.0,1.2,0.0,1.9,1.9,41.6,74.7,,94.18181818181819
Stefan Mitrovic,6.58,75,D(C),34.0,2.0,0.0,0.7,4.2,40.9,90.5,,89.05882352941177
Edgar Ié,6.58,74,D(CR),9.0,1.3,0.0,2.2,2.1,34.7,78.5,,86.44444444444444
Anthony Walongwa,6.56,65,D(C),1.0,4.0,0.0,0.0,1.0,37.0,91.9,,90.0
Igor Lewczuk,6.55,72,D(C),3.0,2.2,0.0,2.0,4.5,32.5,86.7,,149.33333333333334
Bakaye Dibassy,6.55,73,D(CL),32.0,1.5,0.0,1.1,2.7,36.1,77.4,,91.90625
Ismael Traoré,6.55,75,D(CR),29.0,1.0,0.0,0.9,3.8,36.4,85.5,,90.89655172413794
Emmanuel Imorou,6.54,70,D(L),12.0,1.0,0.0,1.1,2.7,26.0,75.2,,93.5
Laurent Ciman,6.54,75,D(C),7.0,1.9,0.0,1.2,4.0,63.1,87.5,,102.14285714285714
Abdallah Ndour,6.54,69,Defender,4.0,0.8,0.0,1.5,2.0,36.3,80.0,,73.75
Rafael,6.53,79,"D(LR), M(R)",11.0,1.0,0.0,1.7,1.2,32.7,83.2,,92.63636363636364
Paul Baysse,6.51,76,D(CR),0.0,4.0,0.0,1.0,6.0,33.0,72.7,,
Herve Lybohy,6.51,68,D(C),15.0,1.6,0.0,1.3,4.1,33.4,83.6,,98.26666666666667
Gaetan Paquiez,6.51,65,D(LR),14.0,1.0,0.0,2.2,2.2,22.5,73.6,,94.71428571428571
Lamine Koné,6.51,73,D(C),23.0,2.0,0.0,0.8,2.3,39.8,84.2,,93.3913043478261
Khaled Adénon,6.51,74,D(C),22.0,2.2,0.0,1.3,4.3,42.0,86.2,,90.72727272727273
Jérémy Sorbon,6.5,73,D(C),29.0,1.7,0.0,1.0,3.1,31.3,84.2,,91.17241379310344
Colin Dagba,6.5,64,"D(R), D(R)",9.0,0.1,0.0,1.4,0.6,33.8,93.0,,101.55555555555556
Emil Krafth,6.49,74,D(R),33.0,1.3,0.0,1.6,2.3,30.2,73.4,,90.0909090909091
Cheick Traoré,6.48,67,D(R),16.0,0.9,0.0,1.9,1.7,20.8,69.4,,94.0625
Jérémy Pied,6.48,73,"D(LR), M(CLR)",4.0,0.7,1.0,1.1,1.1,24.9,78.1,,115.5
Christophe Kerbrat,6.47,76,D(C),25.0,1.2,1.0,1.6,5.2,34.4,78.0,,83.92
Senou Coulibaly,6.44,64,D(C),6.0,1.1,0.0,1.4,2.0,21.2,75.4,,68.33333333333333
Benoit Badiashile Mukinayi,6.44,62,D(C),20.0,1.8,0.0,1.3,3.9,54.5,89.5,,88.15
Mickaël Alphonse,6.44,68,D(R),6.0,1.5,0.0,0.9,2.3,20.3,64.6,,94.5
Racine Coly,6.43,71,"D(L), M(L)",6.0,1.4,0.0,0.8,1.2,27.1,81.6,,83.83333333333333
Kouadio Dabila,6.42,65,D(C),8.0,0.8,0.0,0.9,3.7,31.4,85.9,,97.375
Stéphane Mbia,6.42,74,"D(C), M(C)",5.0,2.4,0.0,0.2,5.0,37.4,89.8,,89.4
Mehdi Zeffane,6.41,69,"D(LR), M(R)",14.0,0.9,0.0,1.0,1.7,31.1,82.6,,86.78571428571429
Younn Zahary,6.41,75,Defender,7.0,1.2,0.0,1.3,2.5,16.4,70.6,,104.57142857142857
Thomas Basila,6.4,61,Defender,1.0,0.5,0.0,1.0,4.0,13.0,84.6,,91.0
Jeremy Gelin,6.39,73,"D(C), DMC",12.0,0.6,0.0,1.4,1.3,36.1,87.0,,105.83333333333333
Axel Disasi,6.39,63,D(C),1.0,1.0,0.0,0.5,4.0,16.5,75.8,,157.0
Yoel Armougom,6.36,59,D(L),20.0,0.9,0.0,1.1,2.0,22.4,73.5,,92.5
Edgar Ié,6.35,74,D(CR),1.0,1.0,0.0,0.7,2.1,15.9,82.0,,234.0
Romain Métanire,6.35,72,D(R),4.0,0.4,0.0,2.4,1.8,16.2,72.8,,78.25
Oualid El Hajjam,6.35,72,D(R),6.0,1.1,0.0,1.3,1.9,19.5,72.6,,90.33333333333333
Fethi Harek,6.34,68,D(CL),2.0,1.7,0.0,1.3,2.0,20.7,69.4,,89.0
Romain Genevois,6.32,73,D(CR),5.0,0.5,0.0,1.7,2.2,22.8,83.2,,71.6
Ludovic Baal,6.32,73,"D(L), M(L)",1.0,0.0,0.0,2.0,0.5,37.0,77.0,,125.0
Ismaël Diomandé,6.31,72,"D(C), DMC",14.0,0.8,0.0,1.6,2.0,32.9,82.5,,92.64285714285714
Milan Gajic,6.31,71,D(R),1.0,2.0,0.0,2.0,6.0,28.0,85.7,,90.0
Jordan Ikoko,6.29,73,D(LR),19.0,0.4,0.0,1.9,1.2,28.3,73.5,,89.84210526315789
Mathieu Bodmer,6.29,70,"D(C), M(C)",10.0,1.6,0.0,0.6,0.3,24.2,69.6,,106.5
Andrea Raggi,6.27,75,D(CLR),6.0,0.7,0.0,1.2,2.2,32.3,84.0,,82.66666666666667
Steven Fortes,6.25,69,Defender,1.0,2.3,0.0,1.0,3.0,16.7,86.0,,136.0
Julien Serrano,6.23,64,Defender,1.0,0.3,0.0,1.7,0.3,15.7,78.7,,117.0
Arnold Bouka Moutou,6.22,70,"D(L), M(L)",0.0,0.3,0.0,1.0,0.3,8.7,69.2,,
Steven Moreira,6.2,72,"D(LR), M(R)",10.0,0.5,0.0,1.9,1.2,29.3,77.1,,86.4
Naldo,6.18,75,D(C),5.0,2.1,0.0,0.7,3.3,23.7,84.3,,60.8
Baissama Sankoh,6.14,67,"D(CR), M(C)",6.0,0.8,0.0,0.3,0.9,12.7,81.6,,108.0
Grégory Sertic,6.14,73,"D(C), M(C)",1.0,0.8,0.0,0.5,0.5,18.5,77.0,,107.0
Gerzino Nyamsi,6.12,60,D(C),6.0,2.6,0.0,0.8,2.0,30.8,87.0,,89.83333333333333
Koffi Djidji,6.1,74,D(CL),1.0,0.0,0.0,1.0,3.0,54.0,83.3,,90.0
Oumar Solet,5.9,63,Defender,1.0,1.0,0.0,1.0,0.0,46.0,93.5,,60.0
Rayan Ait Nouri,5.87,61,Defender,0.0,0.0,0.0,0.7,0.3,11.0,84.8,,
Virgil van Dijk,7.44,86,D(C),38.0,4.8,4.0,1.0,5.2,79.9,89.7,,89.07894736842105
"Trent Alexander0,00Arnold",7.36,78,"D(R), M(R)",27.0,0.3,1.0,2.1,2.1,58.5,77.5,,91.37037037037037
Lucas Digne,7.36,80,D(L),33.0,2.6,4.0,2.0,2.7,41.6,76.0,,89.87878787878788
Ricardo Pereira,7.34,81,"D(LR), M(R)",35.0,1.9,4.0,3.4,3.0,43.8,78.0,,89.28571428571429
Fernandinho,7.31,86,"D(R), DMC",27.0,2.6,2.0,2.0,2.4,70.7,87.5,,88.22222222222223
Fabian Schär,7.3,75,D(C),22.0,2.7,6.0,2.5,5.7,41.4,68.1,,91.0909090909091
Benjamin Mendy,7.29,81,"D(L), DMC, M(L)",10.0,0.8,0.0,1.6,1.6,65.0,88.3,,90.0
"Aaron Wan0,00Bissaka",7.27,74,"D(R), D(R)",35.0,1.2,3.0,3.7,3.7,33.3,73.0,,89.57142857142857
Oleksandr Zinchenko,7.19,71,"D(L), M(CR)",14.0,1.7,0.0,2.4,1.1,84.6,91.5,,82.35714285714286
Marcos Alonso,7.18,83,"D(CL), M(L)",31.0,2.1,2.0,2.4,2.8,60.7,85.0,,89.06451612903226
Sol Bamba,7.15,75,"D(C), DMC",28.0,3.4,3.0,2.6,6.3,19.6,69.1,,88.46428571428571
Michael Keane,7.13,80,D(CR),33.0,5.8,2.0,1.2,5.5,48.3,80.8,,90.0
Matt Doherty,7.12,75,"D(LR), M(R)",35.0,3.8,2.0,1.8,2.2,36.8,71.6,,89.91428571428571
Willy Boly,7.12,77,D(C),36.0,3.8,2.0,2.4,4.8,47.6,81.0,,88.02777777777777
Andrew Robertson,7.12,82,"D(L), M(L)",36.0,0.7,1.0,2.2,1.3,66.6,83.2,,89.41666666666667
James Tarkowski,7.11,80,D(C),35.0,4.8,3.0,2.0,6.7,32.4,69.5,,88.2
Joel Matip,7.11,80,D(C),17.0,3.0,2.0,1.8,3.5,61.0,86.9,,90.29411764705883
Kieran Trippier,7.1,82,"D(R), M(R)",26.0,1.1,1.0,2.5,2.3,57.1,78.9,,87.61538461538461
Dejan Lovren,7.08,64,D(C),11.0,4.1,1.0,1.2,3.9,63.2,86.6,,89.63636363636364
David Luiz,7.08,83,"D(C), DMC",36.0,2.3,0.0,1.1,4.0,72.8,88.0,,89.97222222222223
Jannik Vestergaard,7.07,80,D(C),23.0,3.7,0.0,2.3,7.4,36.7,76.9,,88.26086956521739
Ciaran Clark,7.06,76,D(CL),9.0,3.9,1.0,1.8,5.2,27.6,75.0,,95.33333333333333
Shkodran Mustafi,7.05,82,D(CR),31.0,4.0,2.0,2.0,5.2,56.9,81.9,,84.41935483870968
Aymeric Laporte,7.05,84,D(CL),34.0,2.2,1.0,1.2,2.7,85.6,92.3,,89.91176470588235
Ben Chilwell,7.04,78,"D(L), M(L)",36.0,3.1,4.0,1.5,3.6,46.8,72.3,,90.0
Jan Bednarek,7.04,71,D(C),24.0,3.2,3.0,1.6,6.7,32.8,70.5,,89.625
César Azpilicueta,7.01,86,"D(CLR), M(R)",38.0,1.8,1.0,2.8,2.0,65.3,87.0,,89.55263157894737
Harry Maguire,7.01,82,D(C),31.0,3.8,2.0,1.0,4.9,56.4,85.6,,83.83870967741936
Danilo,7.01,75,D(LR),9.0,1.6,1.0,1.8,1.8,69.7,87.0,,89.55555555555556
José Holebas,7,78,"D(L), M(L)",27.0,2.2,0.0,2.4,2.9,29.8,68.5,,88.66666666666667
Fabián Balbuena,6.98,80,D(C),23.0,3.0,1.0,1.7,7.5,36.2,79.4,,87.56521739130434
Nicolás Otamendi,6.98,85,D(C),14.0,2.2,0.0,1.4,3.1,69.0,92.7,,88.14285714285714
Nacho Monreal,6.97,80,"D(CL), M(L)",21.0,1.6,0.0,1.6,2.5,53.1,87.6,,88.61904761904762
Jefferson Lerma,6.97,79,"D(R), DMC",29.0,2.5,0.0,1.5,2.8,52.0,83.2,,86.58620689655173
Steve Cook,6.96,78,D(C),31.0,4.1,1.0,1.2,6.4,48.4,79.3,,89.90322580645162
Sean Morrison,6.96,74,D(C),34.0,6.6,1.0,1.0,5.9,21.7,62.8,,89.41176470588235
Kyle Walker,6.96,84,"D(CR), M(R)",30.0,1.4,0.0,1.2,1.5,72.4,90.1,,92.56666666666666
Fabinho,6.95,84,"D(R), DMC",21.0,2.0,0.0,2.1,0.9,57.5,85.3,,95.85714285714286
"Kyle Walker0,00Peters",6.95,69,"D(R), D(R)",4.0,0.5,0.0,1.2,0.7,31.3,83.0,,93.5
Florian Lejeune,6.95,78,D(C),12.0,2.6,0.0,2.1,3.7,46.9,76.2,,87.91666666666667
Matt Ritchie,6.95,77,"D(L), M(CLR)",35.0,1.0,1.0,1.9,1.7,30.5,73.1,,84.0
Romain Saïss,6.93,74,"D(C), DMC",12.0,3.2,2.0,2.1,3.1,38.8,77.1,,95.41666666666667
Vincent Kompany,6.93,85,D(C),13.0,2.2,0.0,0.9,3.2,72.2,93.0,,94.07692307692308
Juan Foyth,6.93,72,D(CR),10.0,2.1,1.0,2.6,4.0,48.8,85.2,,89.0
Declan Rice,6.93,73,"D(C), DMC",34.0,1.6,2.0,2.9,1.6,44.6,86.4,,88.38235294117646
Michail Antonio,6.92,76,"D(R), M(CLR), FW",22.0,2.4,2.0,0.7,0.6,20.2,68.1,,95.5
Laurent Koscielny,6.92,82,D(C),13.0,1.5,1.0,1.1,4.1,52.4,91.9,,102.3076923076923
Kevin Long,6.92,73,D(C),5.0,3.3,0.0,3.0,5.7,28.0,81.0,,102.6
James Milner,6.91,81,"D(LR), M(CLR)",19.0,0.6,1.0,1.4,0.7,45.2,84.6,,94.05263157894737
Luke Shaw,6.91,80,"D(L), M(L)",29.0,1.7,2.0,1.9,2.8,57.2,83.3,,89.37931034482759
Bernardo,6.9,75,D(LR),19.0,2.0,0.0,2.8,3.0,35.7,72.7,,92.15789473684211
Arthur Masuaku,6.9,75,"D(L), M(L)",19.0,0.9,1.0,2.5,2.4,38.3,83.3,,92.52631578947368
Matt Targett,6.89,70,"D(L), M(L)",13.0,1.1,0.0,1.7,1.9,27.6,69.9,,91.3076923076923
Jan Vertonghen,6.89,87,D(CL),22.0,2.3,1.0,1.8,3.3,69.6,87.5,,87.04545454545455
Issa Diop,6.89,77,D(C),33.0,2.3,1.0,2.1,4.7,34.4,86.0,,90.0
Daryl Janmaat,6.88,77,"D(R), M(R)",17.0,1.1,0.0,2.0,3.3,33.3,75.8,,89.52941176470588
Jonny Evans,6.88,79,D(CL),21.0,3.0,0.0,1.0,6.1,42.9,84.7,,95.0
Séamus Coleman,6.88,80,"D(R), M(R)",29.0,1.6,0.0,1.5,2.6,41.2,78.1,,88.27586206896552
Ashley Young,6.87,79,"D(LR), M(LR)",28.0,0.8,0.0,1.7,1.9,45.9,77.5,,91.75
Wes Morgan,6.87,75,D(C),21.0,4.2,1.0,1.2,4.7,40.5,80.8,,91.71428571428571
John Stones,6.87,83,D(CR),20.0,2.5,0.0,0.7,2.5,73.0,94.2,,88.15
Nathan Aké,6.86,79,"D(CL), DMC",38.0,2.3,1.0,1.7,6.1,44.6,86.0,,89.78947368421052
Ben Mee,6.86,79,D(CL),38.0,3.9,1.0,1.4,6.1,39.5,74.9,,90.0
Serge Aurier,6.85,80,"D(CLR), M(R)",6.0,1.5,0.0,2.5,2.1,33.6,75.5,,94.0
Jonny,6.85,79,"D(CLR), M(L)",32.0,1.2,1.0,2.4,1.6,32.6,77.8,,86.875
James Tomkins,6.85,78,D(CR),29.0,3.1,0.0,1.2,6.2,38.3,83.0,,88.37931034482759
Maya Yoshida,6.85,75,D(CR),17.0,2.1,0.0,0.9,5.9,32.7,75.7,,89.41176470588235
Danny Rose,6.84,81,"D(L), M(L)",20.0,1.0,1.0,1.9,0.8,35.7,73.7,,89.9
Toby Alderweireld,6.84,86,D(CR),33.0,1.6,0.0,1.1,4.9,69.4,88.5,,88.60606060606061
Davinson Sánchez,6.83,84,D(C),22.0,2.9,0.0,1.6,4.4,62.6,89.9,,88.31818181818181
Callum Paterson,6.82,71,"D(R), M(CR), FW",21.0,7.5,1.0,0.8,1.0,20.4,48.4,,95.04761904761905
Calum Chambers,6.82,74,"D(CR), DMC",29.0,2.1,0.0,2.1,3.5,47.9,79.0,,89.20689655172414
Fabian Delph,6.82,80,"D(L), M(CL)",8.0,0.8,0.0,2.1,1.5,62.9,91.3,,90.625
Sokratis,6.82,84,D(CR),25.0,2.2,0.0,1.7,4.3,55.5,89.4,,87.96
Phil Jones,6.81,79,"D(CR), DMC",15.0,2.6,0.0,1.1,3.4,41.9,92.6,,84.26666666666667
Jamaal Lascelles,6.8,78,D(C),32.0,2.9,0.0,1.0,6.6,34.5,76.7,,85.875
Chris Smalling,6.79,81,D(CR),24.0,4.3,1.0,1.3,4.4,39.8,86.2,,88.66666666666667
Antonio Rüdiger,6.78,82,D(CR),33.0,2.5,0.0,1.0,2.9,76.9,91.5,,87.0909090909091
Ben Gibson,6.78,74,D(CL),1.0,2.0,0.0,1.0,2.0,33.0,66.7,,63.0
Jonjoe Kenny,6.78,72,D(R),8.0,2.3,0.0,2.1,3.0,42.8,72.0,,98.75
Kurt Zouma,6.78,79,D(CR),29.0,3.1,0.0,1.0,3.8,45.1,83.6,,90.10344827586206
Joe Bennett,6.77,72,"D(L), M(L)",30.0,1.2,0.0,1.7,2.8,23.1,71.8,,88.03333333333333
Ryan Bennett,6.77,73,D(C),34.0,3.6,0.0,1.7,3.6,39.6,79.6,,90.0
Simon Francis,6.77,75,D(CR),13.0,2.8,0.0,1.5,3.9,38.5,73.3,,94.61538461538461
Wesley Hoedt,6.77,76,D(C),13.0,2.5,0.0,2.2,5.8,47.8,78.6,,90.0
Ryan Fredericks,6.76,73,"D(R), M(R)",12.0,1.3,1.0,2.5,2.6,29.1,70.9,,90.5
Joe Gomez,6.76,78,D(CLR),12.0,1.5,0.0,1.1,2.4,49.2,87.5,,88.33333333333333
Charlie Taylor,6.75,74,"D(L), M(L)",35.0,1.9,0.0,1.4,2.2,30.9,72.5,,92.57142857142857
Joel Ward,6.74,73,"D(LR), DMC, M(R)",6.0,2.6,0.0,1.7,4.4,27.1,72.6,,91.83333333333333
Pablo Zabaleta,6.74,76,"D(R), DMC, M(R)",23.0,1.8,0.0,1.8,3.3,33.1,76.7,,90.95652173913044
Rob Holding,6.74,76,D(CR),9.0,2.1,1.0,1.1,3.7,61.4,87.5,,89.66666666666667
Angelo Ogbonna,6.74,77,D(C),20.0,3.2,0.0,1.3,4.1,33.1,83.6,,93.55
Eric Dier,6.74,80,"D(CR), DMC",18.0,1.8,0.0,1.3,2.1,54.2,84.9,,83.88888888888889
Scott Dann,6.74,75,D(C),7.0,2.6,0.0,0.6,4.4,26.4,72.7,,94.42857142857143
Paul Dummett,6.74,75,D(CL),21.0,2.3,0.0,1.3,4.7,29.2,71.1,,94.61904761904762
Andreas Christensen,6.73,81,"D(C), DMC",6.0,2.3,0.0,1.3,3.4,57.3,92.8,,102.5
Lewis Dunk,6.72,78,D(C),36.0,3.3,1.0,1.2,5.4,41.4,82.8,,87.58333333333333
Mamadou Sakho,6.72,79,D(C),27.0,1.9,0.0,0.9,4.9,48.9,88.6,,89.51851851851852
Maxime Le Marchand,6.72,74,D(CL),25.0,2.2,0.0,2.2,4.7,53.3,83.3,,90.08
Héctor Bellerín,6.71,80,"D(R), M(R)",18.0,1.1,0.0,0.8,1.7,41.3,84.2,,85.27777777777777
Patrick van Aanholt,6.71,76,"D(L), M(L)",36.0,0.3,0.0,1.3,2.3,44.7,79.8,,88.83333333333333
Martín Montoya,6.71,77,D(LR),24.0,1.0,0.0,2.3,2.5,34.3,80.0,,90.25
Adam Smith,6.71,76,"D(LR), M(R)",25.0,1.1,0.0,1.8,2.3,34.9,82.0,,82.92
Daniel Amartey,6.69,75,"D(R), DMC",7.0,1.6,0.0,2.0,2.8,41.2,85.2,,91.57142857142857
Ben Davies,6.69,81,"D(CL), M(L)",20.0,1.7,1.0,2.1,2.3,40.2,82.8,,91.95
Bruno Ecuele Manga,6.69,77,D(CR),37.0,2.3,0.0,1.8,4.5,25.2,64.9,,91.1891891891892
Luis Antonio Valencia,6.68,81,"D(R), M(R)",5.0,0.5,0.0,1.3,1.0,45.2,84.1,,93.2
Victor Lindelöf,6.68,79,D(CR),29.0,2.3,0.0,1.3,3.9,49.7,89.2,,89.72413793103448
Aaron Cresswell,6.68,76,"D(CL), M(L)",18.0,1.3,0.0,1.5,2.1,40.6,81.4,,88.38888888888889
Jeffrey Schlupp,6.66,73,"D(L), M(CL)",18.0,1.8,1.0,1.4,0.7,21.0,75.9,,92.61111111111111
Adam Masina,6.66,74,"D(L), M(L)",11.0,1.6,0.0,2.1,2.6,31.1,80.7,,91.27272727272727
Craig Cathcart,6.66,75,D(CR),35.0,2.4,2.0,1.4,5.0,35.5,81.5,,88.54285714285714
Phil Bardsley,6.66,72,D(LR),19.0,1.7,0.0,1.7,3.5,29.2,69.0,,88.0
Yan Valery,6.66,61,"D(R), M(R)",20.0,1.8,0.0,1.8,2.5,17.3,61.9,,85.75
Alberto Moreno,6.65,77,"D(L), M(L)",2.0,0.0,0.0,1.5,0.0,52.5,87.6,,77.5
Joe Bryan,6.65,74,"D(L), M(CL)",27.0,1.1,0.0,2.2,2.5,33.9,75.4,,86.92592592592592
Stephen Ward,6.65,75,D(L),3.0,1.3,0.0,1.3,4.0,37.7,74.3,,76.66666666666667
"Ainsley Maitland0,00Niles",6.64,71,"D(LR), M(CLR)",11.0,0.4,1.0,2.1,0.7,28.2,78.5,,89.63636363636364
Matthew Lowton,6.64,77,"D(LR), M(R)",19.0,1.2,0.0,2.7,3.4,30.4,69.0,,92.0
Diogo Dalot,6.63,72,"D(LR), M(R)",12.0,1.4,0.0,1.5,1.9,26.4,70.9,,84.58333333333333
Martin Kelly,6.63,75,D(CLR),12.0,2.7,0.0,1.6,6.5,27.5,75.4,,92.58333333333333
Federico Fernández,6.62,76,D(C),17.0,2.0,0.0,0.8,5.4,32.2,78.9,,87.29411764705883
Denis Odoi,6.62,69,D(CLR),29.0,1.8,0.0,1.5,4.6,43.0,82.1,,89.44827586206897
Cyrus Christie,6.61,72,"D(R), M(R)",19.0,2.0,0.0,1.5,2.9,31.6,76.4,,102.36842105263158
Ryan Bertrand,6.61,79,"D(CL), M(L)",24.0,1.6,0.0,1.9,1.8,32.3,75.5,,90.0
Konstantinos Mavropanos,6.61,68,D(C),3.0,0.5,0.0,0.3,1.3,34.3,92.7,,50.0
Sead Kolasinac,6.61,79,"D(L), M(L)",22.0,0.8,0.0,1.4,1.0,40.5,77.7,,85.95454545454545
Cheikhou Kouyaté,6.61,76,"D(CR), DMC",21.0,2.1,0.0,1.9,1.0,24.7,80.1,,90.33333333333333
Mason Holgate,6.61,76,"D(CR), M(R)",4.0,2.8,0.0,1.0,6.2,50.6,76.7,,101.75
Adrian Mariappa,6.6,74,D(CR),20.0,2.3,1.0,1.3,4.5,34.0,82.3,,96.2
Christian Fuchs,6.59,75,"D(CL), M(L)",2.0,1.0,0.0,1.3,2.3,39.3,83.1,,103.0
Emerson,6.59,75,"D(L), M(L)",7.0,0.5,0.0,1.4,0.8,43.6,89.9,,94.28571428571429
Javier Manquillo,6.59,74,"D(LR), M(R)",12.0,1.1,0.0,1.5,2.7,19.6,69.9,,91.66666666666667
Christopher Schindler,6.59,78,D(C),37.0,3.7,1.0,1.6,3.6,41.9,82.8,,88.16216216216216
Matteo Darmian,6.59,76,"D(CLR), M(LR)",5.0,0.5,0.0,2.3,3.2,29.2,85.1,,88.8
Terence Kongolo,6.58,78,D(CL),32.0,1.7,0.0,2.3,3.0,35.9,78.0,,85.0625
Danny Simpson,6.58,74,D(R),3.0,1.3,0.0,1.8,2.5,18.3,70.9,,97.0
Yerry Mina,6.57,78,D(C),10.0,2.9,0.0,1.1,3.8,38.8,84.1,,89.3
Cédric Soares,6.56,77,"D(R), M(R)",16.0,1.3,0.0,1.2,2.8,33.1,73.1,,93.375
Kiko Femenía,6.55,76,"D(R), M(R)",22.0,0.4,0.0,1.7,2.2,31.9,83.1,,93.0
Lee Peltier,6.54,69,"D(CLR), DMC, M(R)",17.0,1.5,0.0,2.0,2.7,17.1,60.2,,90.76470588235294
Kenedy,6.53,76,"D(L), M(L)",14.0,0.3,1.0,1.2,0.8,18.5,72.3,,96.07142857142857
Jack Stephens,6.52,74,D(C),19.0,2.3,1.0,1.0,3.9,32.0,75.0,,89.42105263157895
Leon Balogun,6.5,75,D(CR),5.0,1.6,0.0,1.5,4.0,27.0,75.9,,118.2
DeAndre Yedlin,6.5,76,"D(R), M(R)",28.0,1.0,0.0,1.9,2.4,25.2,71.6,,88.39285714285714
Bruno,6.49,77,"D(R), M(R)",14.0,0.6,0.0,1.8,1.9,36.4,82.4,,81.14285714285714
Phil Jagielka,6.48,77,D(CR),4.0,2.0,0.0,1.0,1.9,27.4,74.5,,82.5
Conor Coady,6.45,74,"D(CR), DMC",38.0,0.9,1.0,0.8,3.3,44.4,84.3,,90.0
Charlie Daniels,6.45,75,"D(L), M(L)",17.0,1.4,0.0,1.2,2.0,40.0,78.7,,93.29411764705883
Nathaniel Clyne,6.43,79,"D(LR), M(R)",13.0,0.4,0.0,2.4,1.9,32.8,75.2,,88.15384615384616
Alfie Mawson,6.43,75,D(C),13.0,2.1,0.0,0.7,4.3,31.8,82.4,,87.07692307692308
Greg Cunningham,6.43,74,"D(CL), M(L)",7.0,0.6,0.0,2.6,1.9,25.6,73.7,,90.0
Jon Gorenc Stankovic,6.42,63,"D(C), DMC",9.0,2.0,0.0,2.4,1.7,26.7,75.5,,80.0
Ryan Sessegnon,6.42,75,"D(L), M(LR)",26.0,0.5,0.0,0.6,1.1,19.6,73.4,,88.38461538461539
Jack Simpson,6.41,61,D(C),4.0,2.3,0.0,1.5,3.7,39.3,82.2,,100.75
Florent Hadergjonaj,6.4,74,"D(R), M(R)",19.0,1.0,0.0,1.3,1.1,30.2,75.2,,96.89473684210526
Davide Zappacosta,6.39,79,"D(R), M(R)",1.0,0.8,0.0,0.0,1.0,18.8,80.0,,125.0
Eric Bailly,6.37,81,D(CR),8.0,1.1,0.0,1.3,3.1,25.2,87.1,,79.875
Tyrone Mings,6.37,70,D(CL),2.0,0.6,0.0,0.8,1.6,17.4,83.9,,71.0
Diego Rico,6.36,76,"D(L), M(L)",5.0,0.6,0.0,1.2,1.4,23.8,72.6,,121.2
Chris Löwe,6.35,73,"D(L), M(L)",23.0,0.9,0.0,1.2,1.8,29.0,75.1,,89.43478260869566
